timestamp,author,authorChannelId,message
2025-08-31 21:59:58.152824+00:00,Jo So,UCwdC3oeQ2RPsq_OzynOrnXA,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 21:59:58.244154+00:00,fire television,UCWsUuFkHSvt0M1ZBerlUghg,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 21:59:58.648493+00:00,T4NK H4RR1S,UCiyhmoPzc4jeUkAwCLF2D7g,🔥🔥🔥🔥🔥🔥
2025-08-31 21:59:59.184052+00:00,Maha Al Dhabari,UCxQT_R5sjmtFaaTxK20l2WQ,🔥🔥🔥🔥🔥
2025-08-31 21:59:59.276063+00:00,Admiral,UC_12UCydx7D4QUtmZp9ePkA,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 21:59:59.311697+00:00,Athi Musiq,UCneO2Mz10BkFEtZWvyjNFdw,💙💙💙💙💙
2025-08-31 21:59:59.852712+00:00,Guy Gla,UCV3_g83hCMiBwc9ddZDcYjw,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:00.512058+00:00,fishy sausage,UCJKAq9B0Vo9WWUT24bYGL_w,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:00.875469+00:00,Tyrese ,UCbNPF6fx-YQTCKVfCqtwhgQ,🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:01.001641+00:00,Sam🩵City,UCaywDF2qwqgPRhvs2eTLTYg,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:01.048036+00:00,Jessica Wood,UCtUXCKP7AgSO5XSK6A6XvVA,are you showing the players 🤔
2025-08-31 22:00:01.211225+00:00,Lauren,UCYgD76kbEGgAWz775TWe2cA,🔥🔥🔥🔥🔥
2025-08-31 22:00:01.216730+00:00,Rodri is GOATED,UCSyv2CFyjYJ_qBlIwZDnOrA,🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:01.944558+00:00,Guy Gla,UCV3_g83hCMiBwc9ddZDcYjw,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:02.603370+00:00,Justin Guess,UClbwy-cP_l2cqF1wHxFvxJw,🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:02.886650+00:00,Kingsleydudisman ,UCER7AG9iB-KNMwAuzUZ-_fA,🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:03.046746+00:00,Guy Gla,UCV3_g83hCMiBwc9ddZDcYjw,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:03.745580+00:00,Dean91100,UCDzLLUmrDS1s9-AQdzJJ9uQ,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:04.229155+00:00,Andrew,UCMp-2ttevOD1Rq84kkJRZXQ,W chat
2025-08-31 22:00:04.492588+00:00,Osmodeus,UCv_RX92PKGH83xl_O3JL1Wg,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:04.728094+00:00,Luyanda9...N,UCGG6PtHxu3UhYNMWPXXpROQ,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:05.009351+00:00,Mob Rule,UCq3kE7uRpKfypftBCt0JPRQ,🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:05.440093+00:00,Mr. Snicklefritz,UCK6YWaGHTqrKoTN4WB_rn4Q,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:05.968945+00:00,AufWiederZane,UCo-EspsPc1dv-l2E6MbQf7w,COME ON CITEH
2025-08-31 22:00:05.981306+00:00,Guy Gla,UCV3_g83hCMiBwc9ddZDcYjw,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:06.274073+00:00,Matias Laulund,UCoCD1nmEx3npfMlw8sdBkCQ,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:06.366039+00:00,John Heyes,UCh1twXxcCPFIAyezrX-WSxg,Win only boys come on City 🔥🔥
2025-08-31 22:00:07.127902+00:00,Eren Jaegar,UCW1DqOwOx4XeF614b66qcPg,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:07.167664+00:00,Isaac Muini,UCIYBl8bnyFvT5jwC0rlaJUQ,yoooo
2025-08-31 22:00:07.524053+00:00,Guy Gla,UCV3_g83hCMiBwc9ddZDcYjw,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:07.799178+00:00,Efnol,UCi6PhDWQ_0XRjgeSPH9A0bw,BOOM
2025-08-31 22:00:08.712931+00:00,Michael Panton,UCpShk5Urg3GoEvnrnyObkuw,🔥🔥🔥
2025-08-31 22:00:08.899327+00:00,Guy Gla,UCV3_g83hCMiBwc9ddZDcYjw,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:09.078700+00:00,leeroy makaka,UCZL62lXNmR95BTtuCUIDnvQ,🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:09.143395+00:00,rojblanco_roy,UCcfrAiM0QCK7CfRnE3dhoMQ,🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:09.153717+00:00,Dylon,UCmz2LUwq-MzoDOfepSqddCA,Rodri telling the lads “THE LEVELS HAVE GONE UP!” 🔥😤
2025-08-31 22:00:09.535869+00:00,John Hopkins ,UCfTw0IFegEjt6K_VFBoN4Vg,🩵🩵🩵🩵🩵🩵🩵🩵
2025-08-31 22:00:09.627517+00:00,Mattio81,UCjUzrJDrK8mSfYy_cobZ7mg,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:09.749981+00:00,SebastianDrg,UCPIH10j6IErQcg7qZhGETSA,🔥🔥🔥🔥🔥
2025-08-31 22:00:10.103268+00:00,Guy Gla,UCV3_g83hCMiBwc9ddZDcYjw,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:10.356302+00:00,Jul,UCllD8h62i-_zOnPPbZlgcwA,🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:10.550591+00:00,JJ fish fish Lam,UCRFfDsqmw3MbFUNK7EgxyHQ,🔥🔥🔥🔥
2025-08-31 22:00:10.585692+00:00,Jathin,UCsqU855irnKZPRBHsigfF3Q,🔥🔥🔥🔥🔥
2025-08-31 22:00:11.221005+00:00,David_LP45,UClbtRZVWAzHIjJhXP378k6g,Kick off time
2025-08-31 22:00:11.848819+00:00,Rohan4716,UCV27xPnrIpd5FIZd4gCjKfA,we on
2025-08-31 22:00:11.981057+00:00,Paul Scott,UCmRqbs_c57zDva4djFBm_ow,better formation
2025-08-31 22:00:12.031225+00:00,Mark Jacques,UCIOvJLPRCqJ3iJ8NXWPwuIA,🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:14.747820+00:00,Lethabo,UClQ6b_TbEWV69J50tsN2UKQ,let's gooooo🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:14.938127+00:00,Far13,UC6iaJfL9cUYkSoaFSazojKA,🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:15.893467+00:00,Eren Jaegar,UCW1DqOwOx4XeF614b66qcPg,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:16.706581+00:00,Bhuvan R,UCSXaLHxh1JogxpS5GYS6xrA,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:17.184548+00:00,Mob Rule,UCq3kE7uRpKfypftBCt0JPRQ,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:17.200549+00:00,24jmaster1,UCScna2AJeOFngrV50B1T5cQ,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2025-08-31 22:00:18.789281+00:00,fishy sausage,UCJKAq9B0Vo9WWUT24bYGL_w,🔥🔥🔥🔥🔥🔥🔥🔥🔥
