timestamp,author,authorChannelId,message
2025-08-31 22:19:19.679202+00:00,The Creator17,UCcJViGH3hpcscop3cnhIWLg,Come on 🌆! CTID!!
2025-08-31 22:19:19.788040+00:00,Ryan ,UCH5IxX6MtPLqGW6KjVsqV4A,Great save
2025-08-31 22:19:22.247403+00:00,AM Editz:),UCq5xkcbBSizO6M0vsdPi0Zw,i joined late
2025-08-31 22:19:22.534598+00:00,Air Visual Ltd,UCg7XmvuSfxoNT-5jKsqULBw,slava ukraini HJP m8
2025-08-31 22:19:22.761144+00:00,Hannah,UC_V2tW1PcwX3RQIO5_IwHEQ,"I’m glad he hasn’t lost his confidence, up Trafford 🫡"
2025-08-31 22:19:23.917129+00:00,banter-football,UCiu7aPeVF1WMtdpe1IEYHBw,van hecke trying to get into haaland's mind but can't it always has adverse effects never play with haaland ask Gabriel
2025-08-31 22:19:29.184163+00:00,WeLoveYouCiteh,UCknW2MRsXOSF4VtD6lvM7Hw,Redemption from the spurs game so far
2025-08-31 22:19:29.312768+00:00,AM Editz:),UCq5xkcbBSizO6M0vsdPi0Zw,what happened
2025-08-31 22:19:35.786772+00:00,Christine Dixon,UCk5EGZe2MadlvZNNPD45dIw,Trafford has obviously had a word with himself
2025-08-31 22:19:43.629060+00:00,Stuart,UC4MOchuIau2YBMSu-gPlJ3A,Jonny next time you get a seat at the rear of the aircraft as planes don't reverse in mountains
2025-08-31 22:19:50.760485+00:00,YagiZ,UC6cpgJpGWhEdE8Q2GjFjcbQ,"divided by borders, un*ted by the sky-blue🩵"
2025-08-31 22:19:51.252120+00:00,The Creator17,UCcJViGH3hpcscop3cnhIWLg,Hot dog!
2025-08-31 22:19:57.595296+00:00,Harlem ,UCqgQ7W9UTqdwNLeZsO_atOw,He was offside
2025-08-31 22:19:59.465837+00:00,SHIRØ BLACK 白黒,UCLMEhj9_AeZXHtcCYUOhkdA,We are actually looking tough on our defence idk 🔥
2025-08-31 22:20:18.347597+00:00,Ruzha,UCX-BHslP-C0D1jTp_pxmx1w,we need to start smashing into them
2025-08-31 22:20:34.921070+00:00,banter-football,UCiu7aPeVF1WMtdpe1IEYHBw,my analysis: Trafford is a ball playing keeper which also saves balls?!
2025-08-31 22:20:39.652346+00:00,Dinora Baldé,UCKlJTUaDuRl4H1gaRtRKl8A,"Oh well,i t's fine. I've there in 2023/2"
2025-08-31 22:20:50.118490+00:00,Christine Dixon,UCk5EGZe2MadlvZNNPD45dIw,It's a Principality
2025-08-31 22:21:08.522637+00:00,SRP F.C.,UCKN7oHewgFJ_CNlVkVdnI1w,🇱🇰🇱🇰 Sri Lanka
2025-08-31 22:21:12.380008+00:00,Ruzha,UCX-BHslP-C0D1jTp_pxmx1w,ait-nouri looks like salah in a city kit
2025-08-31 22:21:23.577479+00:00,AM7,UCD1mwQKCZB60tecLKGXvtLw,BANGLADESH 🇧🇩
2025-08-31 22:21:26.065064+00:00,SRP F.C.,UCKN7oHewgFJ_CNlVkVdnI1w,yea
2025-08-31 22:21:30.571987+00:00,David Williams,UC3NU2K_ZEGYFyPJ08y6cKVA,Algarve 🇵🇹
2025-08-31 22:21:33.054939+00:00,Chill Guy ,UCy8993a4b0wQh5J0MQL1jFw,You think Ederson will leave?
2025-08-31 22:21:40.893836+00:00,GobertRarside,UCIMYHbJFLJjbzsr4QrD7Wcg,Did you go and see Oasis Johnny?
2025-08-31 22:21:43.424611+00:00,SRP F.C.,UCKN7oHewgFJ_CNlVkVdnI1w,I like football more
2025-08-31 22:21:45.294759+00:00,Mullet Daddy,UCSN9JrDA6qIkz665cAVClZw,I really like Khusanov
2025-08-31 22:21:46.664316+00:00,Ryan ,UCH5IxX6MtPLqGW6KjVsqV4A,Khusanov gives me way more confidence than Dias
2025-08-31 22:21:46.788434+00:00,Chris Perez BJJ,UC2PPXZl19LA4Nl2uR3UVPgg,How confident out of 10 are you today mate?
2025-08-31 22:21:53.283086+00:00,Konstantinos Rousochatsakis,UCgQynLaTpbSSnV9aIfECfww,Andorra have a team in the Spanish second division and they are a country of their own
2025-08-31 22:21:53.541089+00:00,Adhitha Siriwardena,UCWDKBOQokBszLWAhi3GNVPA,same im from sri lanka asw
2025-08-31 22:21:56.831047+00:00,Isa Hamilton,UCCyAtuIwfMdp1s75V2MLMAg,Khusanov and Trafford doing well 🔥
2025-08-31 22:21:58.240804+00:00,marin man,UClbg28OhnZ-gSJwE-qdWLlg,we're going to lose this
2025-08-31 22:22:02.879409+00:00,Christine Dixon,UCk5EGZe2MadlvZNNPD45dIw,Love how many countries are represented here; it's superb
2025-08-31 22:22:03.649741+00:00,Shanty,UC1nwENm6tP1KpavYuZwaP_Q,same old shit not one chance at goal
2025-08-31 22:22:15.234993+00:00,Chad,UCPQwDZTsNZnY6KUO4GDv3aA,Germany 🇩🇪
2025-08-31 22:22:15.726542+00:00,Peter Pan,UCwLbYFH1SiXQ57MmKIA7yZQ,Yeah not looking good at moment city
2025-08-31 22:22:31.476946+00:00,Mullet Daddy,UCSN9JrDA6qIkz665cAVClZw,apologies all 🤣
2025-08-31 22:22:35.859206+00:00,QW3RTY,UClbPozAkGUf89W8zBJfGiMg,Bharat
2025-08-31 22:22:51.813070+00:00,YagiZ,UC6cpgJpGWhEdE8Q2GjFjcbQ,we don't really know about ederson but seems like gala and Fener competing with eachother for him. fabrizo said that City denied fenerbahce
2025-08-31 22:22:55.269047+00:00,Peter Pan,UCwLbYFH1SiXQ57MmKIA7yZQ,Why does Nunes still play in this team
2025-08-31 22:22:56.602585+00:00,Ruhaan Sehgal,UCiX5B8P5UykQbn-uW7a3wyw,City looks very sloppy
2025-08-31 22:22:57.171402+00:00,Jack Lee,UCTSoHliPFIX2pLnV6LLcqVw,We are shit
2025-08-31 22:23:04.531773+00:00,CyberZ6000,UCT8Y1wzBwEvrvcutmgTzHWw,South Africa
2025-08-31 22:23:04.710330+00:00,banter-football,UCiu7aPeVF1WMtdpe1IEYHBw,johhny how's match bingo! going??
2025-08-31 22:23:06.969654+00:00,Dinora Baldé,UCKlJTUaDuRl4H1gaRtRKl8A,"yeah, jokes on me. I know. i don't mind."
2025-08-31 22:23:09.038653+00:00,douglas wright,UCkYrLY9ybYhliHOjzlriDhg,it isn't great so far
2025-08-31 22:23:11.446667+00:00,Kartikeya Shastri,UCv44APJO4tkvO4dR1proRKg,Gotta stop starting bernado man
2025-08-31 22:23:18.030976+00:00,Imagine City,UCCHjaubj9Qxt5NH5fPTjJvA,CITYYYYYYY!!!!!!!
2025-08-31 22:23:19.563723+00:00,Kgahliso M🌟,UCGGm7lQNMAsXdKBVk4sAUmg,khusanov should just go to RB
2025-08-31 22:23:25.275559+00:00,Z4C#,UCCyMVswgixOTdn_fkn1WLrg,I feel like Cherki would e
2025-08-31 22:23:27.756260+00:00,Jack Lee,UCTSoHliPFIX2pLnV6LLcqVw,"0 composure at all, no bounce back"
2025-08-31 22:23:28.316349+00:00,saif arshad,UCzXK8QNeXozdJD6IwJJsH2w,yes david
2025-08-31 22:23:29.700262+00:00,Businesscheems,UCmUMrkmnsW5VzUCJUUcH6Cg,At least we look better on the ball (hopefully I don’t jinx it)
2025-08-31 22:23:34.333230+00:00,Rahul Pilla,UCuTxvBO1xs3FXOb-aRQYZ5A,"Don’t you think we are missing doku here, Ati Nouri do not know whom to pass."
2025-08-31 22:23:37.027937+00:00,Arazmo _TT,UCHyUdBghb-NNKbnu3QGj_iw,agreed benardo shouldn't be starting
2025-08-31 22:23:44.684971+00:00,saif arshad,UCzXK8QNeXozdJD6IwJJsH2w,yes david
2025-08-31 22:23:46.756766+00:00,SHIRØ BLACK 白黒,UCLMEhj9_AeZXHtcCYUOhkdA,Khusanov is playing very well Nunes is effective but needs a little work
2025-08-31 22:23:47.239639+00:00,James Dubesa,UCUWpBIX7jezCyYolMJx_7Pg,We need a goal. We need something. Come on City.
2025-08-31 22:23:53.046514+00:00,Finpartiality ,UCktQlSLAIlHcXymy1IWphBQ,RAN CANNOT BE EXPECTED TO RUN THE WHOLE LH SIDE PUT SOMEBODY WIDE.
2025-08-31 22:23:53.753761+00:00,David Williams,UC3NU2K_ZEGYFyPJ08y6cKVA,Yes
2025-08-31 22:23:59.737977+00:00,Chill Guy ,UCy8993a4b0wQh5J0MQL1jFw,"If you could sign any RB in the entire world, who would it be?"
2025-08-31 22:24:07.456768+00:00,lee david,UCW2Sr0NADV8QsAU_CBEdqFQ,Cmon City 🩵
2025-08-31 22:24:09.292550+00:00,Z4C#,UCCyMVswgixOTdn_fkn1WLrg,i feel like cherki would’ve destroyed Brighton annoying thigh injury
2025-08-31 22:24:09.968097+00:00,Silence8766,UC0Ie6p-ytCEfIm7aOpSXWqA,On the bright side Khus makes our defense look a bit better
2025-08-31 22:24:09.985466+00:00,Ah ZaneMvula,UCqygmL-VNatb6t5Hisst-kg,Hows the defence?
2025-08-31 22:24:15.583777+00:00,Ryan ,UCH5IxX6MtPLqGW6KjVsqV4A,Great play though
2025-08-31 22:24:15.793407+00:00,Hannah,UC_V2tW1PcwX3RQIO5_IwHEQ,i wonder when pep's gonna introduce savinho into the squad again
2025-08-31 22:24:20.668085+00:00,SRP F.C.,UCKN7oHewgFJ_CNlVkVdnI1w,if we lose the fans will put it on haaland for not scoring that
2025-08-31 22:24:39.110336+00:00,Sonic,UCjtL4kq-N2yvGBrO529ub1g,ooooh
2025-08-31 22:24:40.953378+00:00,Ryan ,UCH5IxX6MtPLqGW6KjVsqV4A,EVERYONE LIKE AND SUBSCRIBE PLEASE!!
2025-08-31 22:24:43.952197+00:00,Krisch Bindra,UCUd6OIzs9kL0ngLemFpLQWw,grealish should come back
2025-08-31 22:24:48.738577+00:00,Low Fat Mofat,UCAIlq9O4c6-Gk7_BrrRmXtg,Afternoon chaps I'm late how we doing so far
2025-08-31 22:21:43.424611+00:00,SRP F.C.,UCKN7oHewgFJ_CNlVkVdnI1w,I like football more
2025-08-31 22:21:45.294759+00:00,Mullet Daddy,UCSN9JrDA6qIkz665cAVClZw,I really like Khusanov
2025-08-31 22:21:46.664316+00:00,Ryan ,UCH5IxX6MtPLqGW6KjVsqV4A,Khusanov gives me way more confidence than Dias
2025-08-31 22:21:46.788434+00:00,Chris Perez BJJ,UC2PPXZl19LA4Nl2uR3UVPgg,How confident out of 10 are you today mate?
2025-08-31 22:21:53.283086+00:00,Konstantinos Rousochatsakis,UCgQynLaTpbSSnV9aIfECfww,Andorra have a team in the Spanish second division and they are a country of their own
2025-08-31 22:21:53.541089+00:00,Adhitha Siriwardena,UCWDKBOQokBszLWAhi3GNVPA,same im from sri lanka asw
2025-08-31 22:21:56.831047+00:00,Isa Hamilton,UCCyAtuIwfMdp1s75V2MLMAg,Khusanov and Trafford doing well 🔥
2025-08-31 22:21:58.240804+00:00,marin man,UClbg28OhnZ-gSJwE-qdWLlg,we're going to lose this
2025-08-31 22:22:02.879409+00:00,Christine Dixon,UCk5EGZe2MadlvZNNPD45dIw,Love how many countries are represented here; it's superb
