timestamp,author,authorChannelId,message
2025-10-27 00:12:21.665891+00:00,Campeonato uruguayo Lauti,UCxVGUMTjOUQPB-Dxz1-eSaA,lamin 2
2025-10-27 00:12:21.678750+00:00,carlo massa,UCfQuM1kRy4qy51U3DHM4FPw,0-8 😂
2025-10-27 00:12:33.264663+00:00,Buytaker,UCZelXk6y9fAsBLYkJtqLo9g,el penaltito está al Caer
2025-10-27 00:12:37.529995+00:00,Juan Peña,UCBmL4QZyIshXendpO68xUDg,y el Sevilla te metió 4
2025-10-27 00:13:08.156486+00:00,Edgar Olivares Romani,UC5679heE-ohoMWnBFvrXP9A,Barza le va ha meter 5 piñas a esas gallinas de Vardrid..
2025-10-27 00:13:08.284216+00:00,Campeonato uruguayo Lauti,UCxVGUMTjOUQPB-Dxz1-eSaA,3-5 gana el barca
2025-10-27 00:13:10.554969+00:00,Ivan Escorza Cabrera,UCrGax2YCRO6BpppwE6Orr_A,GOOL DE PEDRO SANCHEZ
2025-10-27 00:13:13.953935+00:00,Manuel,UCnM6K_ygoRYtJmXcuVb4atw,A Yamal no le gusta el jamón
2025-10-27 00:13:27.396182+00:00,Jose Antonio ,UC1B30hZxAK71nxrfIiKXejA,4 3 3 el esquema del Madrid
2025-10-27 00:13:36.702032+00:00,grigordimitrievski,UC_Dtc9qVMeafcc1EJVukmQQ,🟪🟨🟩🟦
2025-10-27 00:13:39.321709+00:00,carlo massa,UCfQuM1kRy4qy51U3DHM4FPw,0-8🤣😂😁
2025-10-27 00:13:42.974917+00:00,David R,UC-WUCyl0ZsvSRe7K980GJZg,el atléti le metió 5 al trampas
2025-10-27 00:13:45.448088+00:00,Craft in Home,UCGoM_hanYe_2l5Ppl0BJcAg,🤒
2025-10-27 00:13:48.210455+00:00,Carlos Alvarez,UCODtzsV1simvdAtOITiLQSg,Edgar eres muuuuu tonto
2025-10-27 00:13:48.758587+00:00,Dxxgx222,UC6BnnQSIlaU22IOpLdWjmCQ,aquí podremos ver el partido o solo lo que comentan ?
2025-10-27 00:13:48.876851+00:00,ramo lotes,UCu-ICG1qZ_23aKuk-sGyp1w,por la tele
2025-10-27 00:13:52.306442+00:00,Isa,UC6NWplnw2L4O9r-_b_UKuxQ,barça
2025-10-27 00:13:52.393865+00:00,grigordimitrievski,UC_Dtc9qVMeafcc1EJVukmQQ,gana el barça
2025-10-27 00:14:00.019367+00:00,carlo massa,UCfQuM1kRy4qy51U3DHM4FPw,vinicuis=🙉🙊🙈
2025-10-27 00:14:02.687462+00:00,Urek Mazino,UCTs7XnaaF_ghVvikQFHkucg,penal para el Madrid
2025-10-27 00:14:08.035322+00:00,Ascension Garcia,UCiv6amivh_wCqHSG-T0JUtg,vamos Barça a por todas vosotros podeis .Vamos Campeones💙❤️💙
2025-10-27 00:14:08.614023+00:00,grigordimitrievski,UC_Dtc9qVMeafcc1EJVukmQQ,visca el barça 😈😈
2025-10-27 00:14:10.951199+00:00,Jesus Emiro Acosta Montilla,UCJ0zahF0IpiHbABkEyvRJhg,real madrid 5 barsa 0
2025-10-27 00:14:11.742314+00:00,Buytaker,UCZelXk6y9fAsBLYkJtqLo9g,Ya no está Camarón en la gabina contigua a Lama?
2025-10-27 00:14:12.000901+00:00,Jose Antonio ,UC1B30hZxAK71nxrfIiKXejA,no sé televisa en abierto el partido
2025-10-27 00:14:17.761330+00:00,Carlos Alvarez,UCODtzsV1simvdAtOITiLQSg,vamos VINIIIIII
2025-10-27 00:14:17.924616+00:00,Manuel,UCnM6K_ygoRYtJmXcuVb4atw,El Bayern le metió 8 al Barsa 😂
2025-10-27 00:14:18.303301+00:00,Samuel Ehopi,UC4fTczyZzbBf4zMNq4fwKFA,1-2
2025-10-27 00:14:18.464183+00:00,Pablo Campoy,UCvhfOZmNvqy9fHsBEsBIEug,se vienen cositas
2025-10-27 00:14:18.464183+00:00,Pablo Campoy,UCvhfOZmNvqy9fHsBEsBIEug,se vienen cositas
2025-10-27 00:14:27.369008+00:00,Campeonato uruguayo Lauti,UCxVGUMTjOUQPB-Dxz1-eSaA,si el atletico te metio 5 el barac 7
2025-10-27 00:14:27.369008+00:00,Campeonato uruguayo Lauti,UCxVGUMTjOUQPB-Dxz1-eSaA,si el atletico te metio 5 el barac 7
2025-10-27 00:14:30.646428+00:00,grigordimitrievski,UC_Dtc9qVMeafcc1EJVukmQQ,lo importante esq seas feliz
2025-10-27 00:14:30.646428+00:00,grigordimitrievski,UC_Dtc9qVMeafcc1EJVukmQQ,lo importante esq seas feliz
