timestamp,author,authorChannelId,message
2025-08-31 21:58:49.983168+00:00,Rivals ,UCrURdWumMhNhkcZAT6t8WNg,"Sunderland beat the bees yesterday, are the bees going down"
2025-08-31 21:58:50.036942+00:00,Kevo Talks Football,UCVHrXkcogVaibIpJ2AgPTVA,3-1 City and 2-1 Nottingham Forest
2025-08-31 21:58:52.166503+00:00,Sleep Or Grind TV,UCWoxmxPrIcPoruA2b4O-P5g,Jamal gets to watch baleba play and it’s not for United
2025-08-31 21:58:52.250022+00:00,💣Anonymous  ,UCIiPVV55Wbushwxn5mTH1oQ,city gonna be below united in the league 🤣 shameless
2025-08-31 21:58:53.505565+00:00,Axel Blaze,UCeZ4rwkoMuGzD0cFzsU4s5w,Brighton actually signed two young strikers
2025-08-31 21:58:54.208118+00:00,S Maddison,UCqfEn3Xp1fJ1bZDrNhYrsdA,Chelsea shopping fc
2025-08-31 21:58:55.103386+00:00,Rocco tik,UCDUe4PKpSSFAnr9XwcEWm6A,Mitoma will score
2025-08-31 21:58:56.300287+00:00,MONTY,UCwMeYFvXYlYH-e9xXFCBz2w,brighton signed a striker too
2025-08-31 21:58:57.227076+00:00,Tyrell gunnerTV,UCP3obBkiBzmvxvojXlEoqKw,yh 2-1 yh
2025-08-31 21:59:02.154320+00:00,Columbus,UCiyuc9HGhqDJHSzJ_TZvx1Q,Boring City
2025-08-31 21:59:05.261405+00:00,ATJ,UCQCSc_bcxYCgzbL_vLT7Xbw,IS MITOMA FINISHED
2025-08-31 21:59:07.243382+00:00,Aleos,UCPJd7mf3wpTVJWe-sacnJjw,we gave garnacho a cold anouncment
2025-08-31 21:59:10.541822+00:00,Weefyman,UCOyWSgNSYxamdxBaMsijdSQ,"Good to see youre smiling dude, not for long!"
2025-08-31 21:59:13.558826+00:00,Yusuf Yaqub,UCXe1WQjyOeuZRpVOUklK0dg,Big up to Saeed i told my boys to subscriber to you 200k coming
2025-08-31 21:59:13.636791+00:00,KLN_ SLEEPY,UC7PA3Lj2hGQCl649PF09uSA,50 50 rn
2025-08-31 21:59:16.528182+00:00,Leeko,UCxEX8P7rvW637uLdailizrQ,Hope Brighton get relegated so baleba is cheaper
2025-08-31 21:59:19.484482+00:00,Smariah,UCu8l7ow7zUC6rRvSraN8OYQ,They’re selling Gomez
2025-08-31 21:59:19.650313+00:00,Justmemes,UC8DpF2QlmUKwJAyuMzwm1mQ,Yes he wants the move but its up to parish to give the green light
2025-08-31 21:59:22.459363+00:00,CaidenP CPFC_TALK,UCHQiNWHGKpjO0FLO4FtzSEA,We should never sell him this late but it’s Parish we’re talking about here. He’s desperate for money
2025-08-31 21:59:24.978485+00:00,poojith sankar,UCRcKlF_Lr5yfTBodBkpEGdw,Big Up Saeed! Hit the Likes guys 🤌🤌
2025-08-31 21:59:25.256592+00:00,Keiron,UC07RukctA5Up2_NscQL0jVg,city were pretty poor against Tottenham tho I think this is a tough game
2025-08-31 21:59:26.156387+00:00,Peres,UCD9OJNNYTzTie3WRIxuiXUQ,He’ll leave one Gomez leaves Liverpool
2025-08-31 21:59:27.769276+00:00,WasLost,UCg1PuI-sFkzBmtx_KaTlyPA,Don't Jinx it Jamal pleaese.
2025-08-31 21:59:28.101854+00:00,Tesfaalem Nigusse,UC9fcU2E2cZZsjbIey5B1y_A,because they're a selling club just lost João Pedro
2025-08-31 21:59:31.832079+00:00,Franciz,UCBjkVZc3rgNwbTXCD1X3Dsw,You reckon yeah
2025-08-31 21:59:32.933880+00:00,FizzKhareefa (FizzKhareefa),UC4ZWVKKUftpLMwxQjsL2lJQ,KONATE IS FINISHED
2025-08-31 21:59:33.564415+00:00,ATJ,UCQCSc_bcxYCgzbL_vLT7Xbw,IS MITOMA FINISHED?
2025-08-31 21:59:37.345128+00:00,Mustafa Muqarrab,UC7qjjwfJOwgTuU1kmrlGDSw,hes better then konate not hard to be
2025-08-31 21:59:43.304868+00:00,Mustafa Muqarrab,UC7qjjwfJOwgTuU1kmrlGDSw,baleba rough
2025-08-31 21:59:46.037200+00:00,Abhinaya Shah,UCkxbvqo8bIhwXD8_v1wRJ4A,1 1
2025-08-31 21:59:50.444101+00:00,Arsenal Omar,UC5QaU6rfD_YxkxSK7qVDTsQ,Yeah of course konate doesn’t wanna extend he’ll get benched
2025-08-31 21:59:51.812525+00:00,ICRaZZii _,UCm7LeztgGk8eOWFSWZrnK7g,Still thinking about United
2025-08-31 21:59:53.473704+00:00,waynefrederick,UCnY8AzmXLei5UcsRsu9uZPA,man city 3-1
