timestamp,author,authorChannelId,message
2025-08-31 21:57:06.555754+00:00,sgagssg,UCAc1IojIhcjhbDEIIW6zfHQ,"MATCH WILL BE LIVE FOR FREE ON 👉 ""STREAMFREE TO"" ⚽"
2025-08-31 21:57:09.071445+00:00,Gmazza 26,UCFIfnehcusxJo6Cxr487Cpg,No rico lewis stuffs up my fpl
2025-08-31 21:57:12.750386+00:00,kevino,UCleZ1X4Z5Qrm2h2cyDaowAQ,@Daniel Svensson its just a joke hes not actually his brothear
2025-08-31 21:57:13.360788+00:00,Arfan Football News  ™,UCOK7KZSJCCeXNL8su1sjeQg,Formation 5-2-3 GK: Pickford RWB: Trent LWB Lewis Skelly CB: Guehi CB: Stones CB: Ben White CDM: Rice CAM : Bellingham RW: Saka LW: Foden ST: Kane
2025-08-31 21:57:14.571203+00:00,Freddie Yorkshireman,UC4DK9Ks8v33V5AlDJBREn_Q,I’m happy Trafford snubbed Newcastle tho that was hilarious
2025-08-31 21:57:17.269445+00:00,Squido,UCwRixKaQCd-cXuHJXvGUiZg,tosin is a great pick
2025-08-31 21:57:22.243122+00:00,Yeshi Kunchok,UC5fRCwfSaDH1qmJGH9XwwHw,Wow
2025-08-31 21:57:24.993172+00:00,Matthew mc griddy 2011,UCZ3g-2EvGhrhREWY96NbK8w,he's not your brother
2025-08-31 21:57:27.875784+00:00,ZM4 Baller,UC4_QjV8rsgxb6e6HPCg_b_w,He’s so good
2025-08-31 21:57:31.479488+00:00,Strivix78,UCYVfJ7JtkZpYatbVdV9atYw,What’s your projection on John Stones?
2025-08-31 21:57:34.091885+00:00,Wake Up,UCnWiLYUD01is62ex3zlR8zA,😭
2025-08-31 21:57:34.114595+00:00,Nati Dereje,UC9PvD196XNaMVNsC4WQHxkQ,lol
2025-08-31 21:57:34.603599+00:00,Daniel Svensson,UCtdNGiP3G72d6rOQssq-B-A,@kevino he literally is i just searched it up
2025-08-31 21:57:35.941312+00:00,kevino,UCleZ1X4Z5Qrm2h2cyDaowAQ,@Daniel Svensson he is not actually his brother
2025-08-31 21:57:37.624541+00:00,Nati Dereje,UC9PvD196XNaMVNsC4WQHxkQ,lol
2025-08-31 21:57:39.036061+00:00,sgagssg,UCAc1IojIhcjhbDEIIW6zfHQ,"MATCH WILL BE LIVE FOR FREE ON 👉 ""STREAMFREE TO"" ⚽"
2025-08-31 21:57:40.477649+00:00,asgfag5353,UCS62ZsMKX4uw3LlQuwEs4SQ,"MATCH WILL BE LIVE FOR FREE ON 👉 ""STREAMFREE TO"" ⚽"
2025-08-31 21:57:52.795084+00:00,HA fornite ,UCfmv1lQKNLovCTaRFNCpQ2Q,0_4man city
2025-08-31 21:57:56.667295+00:00,Freddie Yorkshireman,UC4DK9Ks8v33V5AlDJBREn_Q,hey tHoGdEN.
2025-08-31 21:57:57.193632+00:00,Daniel Svensson,UCtdNGiP3G72d6rOQssq-B-A,ye he is kevino i just searced it up
2025-08-31 21:57:58.332775+00:00,Arfan Football News  ™,UCOK7KZSJCCeXNL8su1sjeQg,Chiesa over Rice?
2025-08-31 21:58:01.218376+00:00,Yeshi Kunchok,UC5fRCwfSaDH1qmJGH9XwwHw,Wow
2025-08-31 21:58:07.025325+00:00,Nati Dereje,UC9PvD196XNaMVNsC4WQHxkQ,Kevino I love u
