timestamp,author,authorChannelId,message
2025-10-27 00:14:14.660515+00:00,Marcos Girardi,UCNAByZCcVVmcgV0_DjbbC5Q,lantash*
2025-10-27 00:14:17.265458+00:00,FC Cubecraft EDITS,UCpFIAPBVIZhMInapoK1A7Eg,pedri
2025-10-27 00:14:18.417624+00:00,Skynet,UCBFu1ZynOzGzXqM2dnpc4KQ,Santi 0-0:face-fuchsia-tongue-out:
2025-10-27 00:14:18.928656+00:00,Santi 13🐺🦋,UCX2WYUYLO_S2LzAXmgE3naQ,Lantash🙋
2025-10-27 00:14:20.664552+00:00,Miguel Hernandez,UCHGPXS0aRU_hDMtw8830YfA,Me caes tan mal Roncero que me dan nauceas Verte!!:face-orange-frowning:
2025-10-27 00:14:29.541738+00:00,Lantash27 YT,UCpWFI7RcyWCLLBzFfNBwaUQ,Marcos Rebe Santi:hand-pink-waving::hand-pink-waving:
2025-10-27 00:14:31.067571+00:00,Santi 13🐺🦋,UCX2WYUYLO_S2LzAXmgE3naQ,Skynet😂😂😂
2025-10-27 00:14:31.145088+00:00,Rinomar 92,UCCOFbyY98AEPMLK2H3sLC2A,"""Historia que ROBASTE, historiaaaa por ROBAR"" lalalalala:hand-pink-waving::face-blue-smiling::hand-pink-waving::face-blue-smiling:"
2025-10-27 00:14:32.696784+00:00,Rebeca Rome,UCm2zI1lXu5kJVh3ONqvwMRQ,Joe Skynet jajajaja
2025-10-27 00:14:40.678961+00:00,FUSUNI AH,UCp0QbNILhrBB4RF0M0w14nw,falta raphina..y levandoski..pero bueno..igual da..q todos..son buenos..como el Kinder
2025-10-27 00:14:41.808274+00:00,Jailine Serrano,UCvGw9X83U7u3Fue9M3YbKrA,ponga el partido
2025-10-27 00:14:43.579196+00:00,Lantash27 YT,UCpWFI7RcyWCLLBzFfNBwaUQ,Skynet :hand-pink-waving:
2025-10-27 00:14:45.213246+00:00,Marcos Girardi,UCNAByZCcVVmcgV0_DjbbC5Q,hola skynet 🙋🏻‍♂️🙋🏻‍♂️
2025-10-27 00:14:45.947028+00:00,Aitor Calabuig rodriguez,UC__m3nwLRAghyEhla7Sn0IA,hala Madrid
2025-10-27 00:14:49.625404+00:00,Fgraphy12,UCNVX4pf7V6M7-0kXNv_qEEQ,RONCERO QUE PENA DAS
2025-10-27 00:14:50.551763+00:00,Dsc,UCFGH_wDOMmvcx33dpCQpbMw,Penalti para el Madrid
2025-10-27 00:14:53.258913+00:00,luis steven garay vega,UC_TjXb7mOzvIDvZ0YbjKAQQ,REAL MADRID 🤍🤍🤍⚪️⚪️🏳🤍🏳🤍🌎🤍🌎🔥👑👑💙💙🤍🤍👑👑🤍🏳⚪️🤍🤍
2025-10-27 00:14:54.217443+00:00,Cheikh Mbacke,UCCHgLHIi9Dp9zfR4eoWWoWQ,:glasses-purple-yellow-diamond::hand-orange-covering-eyes::body-blue-raised-arms::glasses-purple-yellow-diamond::pillow-turquoise-hot-chocolate::pillow-turquoise-hot-chocolate::face-turquoise-speaker-shape::face-orange-raised-eyebrow::planet-orange-purple-ring:🏒🥋🧧♥♦♦
2025-10-27 00:15:03.571657+00:00,Porculero,UC7N00Ec8nefunAkCGSFFvZw,demasiado verde 🌿 veremos
2025-10-27 00:15:04.985434+00:00,luis steven garay vega,UC_TjXb7mOzvIDvZ0YbjKAQQ,REAL MADRID 🤍🤍🤍👑🤍👑🤍🏳🏳🤍🌎🌎🌎🤍🤍🤍🏳🏳⚪️👑👑🤍🤍🤍
2025-10-27 00:15:05.480120+00:00,Pedro Velazquez,UCjXlNtBdJnMSlJehk8_RnvQ,A por los favorecidos por los árbitros 💙❤️🐱
2025-10-27 00:15:08.116040+00:00,Rebeca Rome,UCm2zI1lXu5kJVh3ONqvwMRQ,Antis un poco de educación por favor
