timestamp,author,authorChannelId,message
2025-10-04 20:38:56.382834+00:00,David Summers,UCKoaMJZD13rZxy3yc1lCg8Q,The King?
2025-10-04 20:38:57.198848+00:00,Luke Shackleton,UCUMDGgcEsj4oqTPJj4_a0-g,Elon
2025-10-04 20:38:58.184781+00:00,Peretz45,UCyEayQbojDKtdRXjblwFJ1A,donald trump
2025-10-04 20:39:00.214070+00:00,Quabio,UCHdXx6x1yTS1LukiHcaEn8w,our boy Trump
2025-10-04 20:39:00.703968+00:00,Vishnuu Panickar,UCRHSkp0WfTaycqR9iw4NoTw,Max Verstappen
2025-10-04 20:39:01.357024+00:00,Duggs,UCneqsxYcvPQz7JJSm1hvDbg,Domhnall Gleeson and Jack Quaid
2025-10-04 20:39:02.645178+00:00,udyretgaming,UC6ia1fEPmwC17r2lUG4Mrag,donald trump
2025-10-04 20:39:03.587258+00:00,Dan Temple,UCam8U7wEkMRRsY2KYphJjzA,jesus?
2025-10-04 20:39:04.564079+00:00,Jack Richards,UCyV-B-IxuLl0eeAtruZgdJw,Thurams
2025-10-04 20:39:06.675170+00:00,Varun Saroha,UCm4ysWtXUOEHL0SBOuO74rw,Josh brolin
2025-10-04 20:39:08.732773+00:00,KLM Kieran,UCd2paAX1VVIaCAonlbnyE4A,wayne rooneys son in a few years? 😂
2025-10-04 20:39:09.203724+00:00,Ashish Ahuja,UCysyB1CB3HxGh0igVe9Pg1w,trump
2025-10-04 20:39:10.825815+00:00,Danny91,UCx7_P6FkRmfgb2IdA60kPDA,Eddie Hearn
2025-10-04 20:39:12.750917+00:00,A G,UCLwUuPUw32ew2EcJyFz_Jtg,@Jackson Ephraims bias is a noun not an adjective you mouth breather
2025-10-04 20:39:13.374693+00:00,Yeah Boi,UCTa0m6sO7pRlThyHmTj1bHQ,Ben stiller has earned his keep let’s be real
2025-10-04 20:39:16.019354+00:00,RaffaDee,UCVjypyMl3Nqk2Z4wZmabuNw,Lmao Jesus is a shout tbf
2025-10-04 20:39:19.873976+00:00,Steve Pearce,UCb3U9tQmsA23uRw8RTW3VFA,haaa Jesus
2025-10-04 20:39:21.456238+00:00,Peretz45,UCyEayQbojDKtdRXjblwFJ1A,trump
2025-10-04 20:39:25.507646+00:00,Mika,UCLZpV1UXl3LPzCkHsaaB3eA,willow smith
2025-10-04 20:39:28.086631+00:00,Mac_czy,UCcAocU5s7GjIhKtTCoCH_ow,Jaden smith
2025-10-04 20:39:35.641414+00:00,Neill Nelson,UClkdaITzae9r3EPjCKIsMlg,jesus lol
2025-10-04 20:39:38.071005+00:00,Quabio,UCHdXx6x1yTS1LukiHcaEn8w,Haaland is a nepo daddy
2025-10-04 20:39:43.270535+00:00,Lime,UCilCJS26hrP60ydxO8g1qPA,Kasper Schmeichel
2025-10-04 20:39:47.866629+00:00,Kevin Shea,UCU8o9T0gBhbvRN80Cr3lObg,RDJ
2025-10-04 20:39:47.882045+00:00,A G,UCLwUuPUw32ew2EcJyFz_Jtg,Mohammed nonced kids
2025-10-04 20:39:49.028158+00:00,Madilifa,UC32z2OFUvpMiGUvwXaa7giw,Eddie Hearn
2025-10-04 20:39:50.584782+00:00,Camera Nostalgia Club,UCe0MDtUXNqa6HmUa18wtOFw,Max Verstappen
2025-10-04 20:39:51.383654+00:00,Jack Richards,UCyV-B-IxuLl0eeAtruZgdJw,Thurams
2025-10-04 20:39:51.444415+00:00,stephen mckeown,UC7-APnUxg1FTpZY7xnFzX5w,top corner /
2025-10-04 20:39:59.746606+00:00,Yeah Boi,UCTa0m6sO7pRlThyHmTj1bHQ,Any Saudi Prince
2025-10-04 20:40:20.038417+00:00,Matthew Greenwell,UC2tfgr_Ad1qCBJQKdbPJ2GQ,George W Bush is the ultimate nepo baby.
2025-10-04 20:40:20.493549+00:00,Steve Pearce,UCb3U9tQmsA23uRw8RTW3VFA,Rory would never survive slough thats a lie
2025-10-04 20:40:20.697384+00:00,Ezio Auditore,UCe_1abOoe6yfI-cX1h3F01Q,maldini is number 1
2025-10-04 20:40:21.067527+00:00,Dan Temple,UCam8U7wEkMRRsY2KYphJjzA,Paulo Maldini
2025-10-04 20:40:25.579877+00:00,Immortal Treknique,UCny8_Xwu2b9lCq3QPnHnCaA,Maldini is the best Nepo baby
