messageId,timestamp,author,authorChannelId,isChatOwner,isChatSponsor,isVerified,message
LCC.EhwKGkNLenduYzJMMW84REZZTER3Z1FkeFFRVy1B,2025-09-14 00:50:10.193709+00:00,enwat,UCqCetLJGjGo4oQE9K5SMmJg,False,False,False,セメンヨ流石に疲れちゃったかな
LCC.EhwKGkNQcWJuTS1MMW84REZWTVRyUVlkRkpRb2Rn,2025-09-14 00:50:14.359976+00:00,yuki,UCFYAcBbBt3WCveqs28vki7Q,False,False,False,カディオグル偉い
LCC.EhwKGkNJYUx1TS1MMW84REZkTWtyUVlkelE4aF9B,2025-09-14 00:50:14.815608+00:00,501 MARK,UC7Ofe0fdwFo0ETbHjtCS5ew,False,False,False,無音で試合続けて見るの自分だったら絶対寝るわ
LCC.EhwKGkNPcTE0TS1MMW84REZUYkR3Z1FkZzk0RkZR,2025-09-14 00:50:15.478104+00:00,G P,UCQxTBl_ntmfN4y_im_bCjEg,False,False,False,カディオグルよい
LCC.EhwKGkNPVFE1ZEtMMW84REZkUURyUVlkclBBdnZB,2025-09-14 00:50:21.852728+00:00,とある,UCe0kGAn5sE1wPOZvA9OhQTQ,False,False,False,アラバかな
LCC.EhwKGkNJZlRfOVNMMW84REZlM0p3Z1FkajdFSUJ3,2025-09-14 00:50:26.473947+00:00,ハルＲ２,UCv96SxW7MluhNM5S4phFeqQ,False,False,False,ソシエダのコーナー一生改善しない
LCC.EhwKGkNKUFlnZGVMMW84REZTTW1yUVlkaENBU2ZB,2025-09-14 00:50:30.702515+00:00,こずえ丸,UCqC3srDVyhp_TGlPGOLCdHA,False,False,False,デカイパーもいてカディオールも出せるのデカいな
LCC.EhwKGkNPbnd6ZU9MMW84REZRZkR3Z1FkU0lNdXJR,2025-09-14 00:50:57.116543+00:00,ダヨ,UC0iKxQwYNEOoBgWBuyXp-Rg,False,False,False,レアル油断したら一瞬でやられる感じ相変わらず凄い
LCC.EhwKGkNLaTA3dkdMMW84REZWbkN3Z1FkaTdVOXJR,2025-09-14 00:51:27.008503+00:00,Karazuketo,UCaDvIyS3JvvqEtuHd4X7DMw,False,False,False,ソシエダはなにしとんこれ
LCC.EhwKGkNQN2xvZmlMMW84REZjVEh3Z1FkNkZraHRR,2025-09-14 00:51:40.434578+00:00,すーしゃ,UCyO9OHd_1Igp15g-3sU9_nw,False,False,False,まじでソシエダの選手久保にボールつけないんよな
LCC.EhwKGkNNXzUtX3FMMW84REZkUURyUVlkclBBdnZB,2025-09-14 00:51:46.105264+00:00,グル,UCoUFHgRyEJCWZ988VHG23Xg,False,False,False,滞空時間長いとメンタルにも圧かかりますね
LCC.EhwKGkNLYnMtZnVMMW84REZRX0l3Z1FkZWpnWjNB,2025-09-14 00:51:48.166837+00:00,ワタル,UCYdDEtigyQ7QFX22i66DwHg,False,False,False,ソシエダすげえ相手1人少ないことを感じさせない
LCC.EhwKGkNNVExzZnlMMW84REZWTVRyUVlkRkpRb2Rn,2025-09-14 00:51:49.081159+00:00,ああ,UCmldnXaJ971jQsk6niKkNow,False,False,False,プレミアのCBみんなキック精度高いけどヘッケレベチなきがする
