timestamp,author,authorChannelId,message
2025-10-04 20:36:59.616058+00:00,👽 alien,UCHwnatMlkcYecIvwHa3zr3Q,yeah south Africa is amazing despite what the media say
2025-10-04 20:36:59.927435+00:00,Snaith GK,UC_cUa6M3Sy3UnoXIr88zjXg,score prediction joe
2025-10-04 20:37:07.797393+00:00,Andrew Sefton,UCfDKJO9mJErQ5J_81n6Wftg,Rodon wants to score today
2025-10-04 20:37:14.209675+00:00,ꃳꄲꇙ꓄ꄲꋊ,UCcW7vYKoD3mkUj5hVa9v7Ng,Come on Leeds
2025-10-04 20:37:30.561212+00:00,ꃳꄲꇙ꓄ꄲꋊ,UCcW7vYKoD3mkUj5hVa9v7Ng,OMD what a chance
2025-10-04 20:37:30.729958+00:00,JJ,UCCGF_H0jH-9W_7A6Wr_qbfQ,you could even argue and say we're on the front foot😳
2025-10-04 20:37:33.531497+00:00,70s channel t. rex Bowie,UCgQ3aTobOlzA2G7L3gUnChg,LEEDS BEST TEAM IN THE LAND
2025-10-04 20:37:42.493058+00:00,Mystic AdzYT,UC-p8W5Nb6wL5Mvcr7DpPcwQ,Cmon leeds
2025-10-04 20:37:45.364195+00:00,Richard S,UCRNwqF8PO1srfAQAVBgW2gQ,Good start!
2025-10-04 20:37:45.758883+00:00,AR,UC9Pc0b7UdRkh1zYOtNnCD9Q,QUESTION TO JOE & CHAT - WHY ARE LEEDS UNITED THE BEST?
2025-10-04 20:37:46.916961+00:00,Drcox222,UCwULEXq-Mt9R-SxEP0GS6VA,that spurs keeper is like mes lol
2025-10-04 20:37:49.091247+00:00,Vega,UC9GMFIU86rX1ou8zQncgPVw,Oh
2025-10-04 20:37:56.505533+00:00,Anthony Hughes,UC84pXZCAaMqTv_jlLCZT4fA,PUT BALL IN BOX......UUUUUUUEEEE
2025-10-04 20:37:57.834515+00:00,Joebrennah Tendere,UCfSuAGTClj89_li6SqdzXNw,tottenham bhora
2025-10-04 20:37:59.910992+00:00,Snaith GK,UC_cUa6M3Sy3UnoXIr88zjXg,score prediction joe
2025-10-04 20:38:01.702077+00:00,BamfordandChips,UCVuUsbfP3TtTahZ2pkgSC_Q,so close
2025-10-04 20:38:02.581182+00:00,Kam Nel,UC0uwrm9NwhDVDuUTxMhmrWg,live hia Yaounde Cameroon 🧏
2025-10-04 20:38:04.061734+00:00,Thiago Mamy,UCMO0QF2DvVnEIYMWW_zDCKA,🧐
2025-10-04 20:38:16.684739+00:00,Vega,UC9GMFIU86rX1ou8zQncgPVw,So close
2025-10-04 20:38:17.133448+00:00,Cee-Bee,UCJI_0IA8lKcKYzdTjDI9ubg,"AR, because they're Leeds United"
2025-10-04 20:38:23.514239+00:00,Richard Ambler,UC1o8fzq1KNtKjUUrRO6jkWw,walking round sainsbury watching you Joe lvl on max alaw
2025-10-04 20:38:38.670850+00:00,Steve Benabraham,UCfliGzrF-sLJ1ZGSfq-jcmA,we need a postman pat
2025-10-04 20:38:44.647562+00:00,👽 alien,UCHwnatMlkcYecIvwHa3zr3Q,new face tat Joe
2025-10-04 20:38:45.163740+00:00,completed it,UC6OPhHr9b8zwB30pJBty6Wg,Need to take any chance today so not a good start 🤦🏻‍♂️
2025-10-04 20:38:45.363808+00:00,Danny Talks Leeds,UCAhO77TQEVS7Bh6nDSo1GZw,👍👍 smash a like and subscribe plz 👍👍
2025-10-04 20:38:46.757402+00:00,Glad Wise,UCMj8bJG4ASj6O9ZybdOXa8w,"hit the,post"
2025-10-04 20:38:47.816140+00:00,70s channel t. rex Bowie,UCgQ3aTobOlzA2G7L3gUnChg,PLEASURE GOOD
2025-10-04 20:39:10.684619+00:00,AR,UC9Pc0b7UdRkh1zYOtNnCD9Q,Vicario and Meslier are brothers
2025-10-04 20:39:29.713664+00:00,steve hirst,UCB9NxpmGkBGHhiXdETo4TOw,Love a WIN over this lot MOT
2025-10-04 20:39:34.818678+00:00,Shaun,UCtFigoHJALOJC3xPfw4gW0Q,3 points today please we all lov Leeds MOT
2025-10-04 20:39:37.986784+00:00,Anthony Hughes,UC84pXZCAaMqTv_jlLCZT4fA,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:INTO EM....!!!
2025-10-04 20:39:38.655360+00:00,fiona stocks,UCW_vaM4j0VFv_0hco6i1_RQ,Leeds are the best club in the world
2025-10-04 20:39:58.540840+00:00,70s channel t. rex Bowie,UCgQ3aTobOlzA2G7L3gUnChg,LEEDS LEEDS LEEDS LEEDS LEEDS LEEDS LEEDS LEEDS LEEDS LEEDS
2025-10-04 20:40:02.432680+00:00,ꃳꄲꇙ꓄ꄲꋊ,UCcW7vYKoD3mkUj5hVa9v7Ng,Bogle come on
2025-10-04 20:40:02.626331+00:00,GuitarHero ,UCdLo9_93SoCzUHyOeQGYbIQ,🤍💛💙
2025-10-04 20:40:03.572457+00:00,Leeds United Old School,UCMO2xDCoh66IbdvTW7P9k7g,good start leeds
2025-10-04 20:40:06.372161+00:00,Lee Goldup,UC11meoyhW3PLkOjBV6bKuew,Why can’t we seem to take our 1st chance. Thst was an open goal.
2025-10-04 20:40:12.862974+00:00,Cee-Bee,UCJI_0IA8lKcKYzdTjDI9ubg,"we're 8th, get a screenshot lol"
2025-10-04 20:40:20.294149+00:00,White swan,UCIRa2pyqj-QirLje3m0jFyg,Come on Leeds. Crowd sucking the ball in
2025-10-04 20:40:32.809890+00:00,Cee-Bee,UCJI_0IA8lKcKYzdTjDI9ubg,Hi White Swan
2025-10-04 20:40:35.060485+00:00,Ellis B,UCUWdhp7Utj4IO6AkIfB3hAw,Rodon is the dogs nuts
2025-10-04 20:40:47.600950+00:00,White swan,UCIRa2pyqj-QirLje3m0jFyg,Hi ceebee
2025-10-04 20:40:53.868241+00:00,70s channel t. rex Bowie,UCgQ3aTobOlzA2G7L3gUnChg,🤍💛💙🤍💛💙🤍💛💙🤍💛💙 GLORY GLORY LEEDS UNITED
2025-10-04 20:41:07.816518+00:00,Isabel Morena Canami,UCBjKZkD6dC1itT2tyzIDjAA,Leeds vs Tott /1-1
2025-10-04 20:41:16.058842+00:00,Donna Lyoness,UCNI_7ZwEY2haC7dzsbI3A6Q,Come on Leeds
