timestamp,author,authorChannelId,message
2025-10-14 19:35:23.049219+00:00,Adefolaju Adelegan,UCxpIOrq6egTYVbL5zqsQYAw,NOVA SOCCER HUB
2025-10-14 19:35:24.241111+00:00,Revolutionary Potential,UCqcJikh2ffGU1k40d5Erqcw,all AFCON WC Qualifiers are free on FIFA+
2025-10-14 19:35:28.368325+00:00,DIALA UKA,UCU7k_QSWwcizS3dpz9u6vEQ,Kamamoto
2025-10-14 19:35:29.808006+00:00,Mustafa Muqarrab,UC7qjjwfJOwgTuU1kmrlGDSw,oh striker
2025-10-14 19:35:30.642240+00:00,GenXg,UClL-T48u8Bw4vIzfdhWzboA,BIG UP SAEED HIT UP DA LIKES
2025-10-14 19:35:31.181018+00:00,Chels Blue,UCEzGrwRtePa7KPkbL6gqorg,Big Six covering the World Cup 👀
2025-10-14 19:35:31.504581+00:00,acers ,UCm5wDoM1XC10Bw8OxHYNT1A,United wants jobe bellingham
2025-10-14 19:35:33.212250+00:00,WORK NHS,UC95fWTC3qSCAHBMxIcWbpDQ,top scorer
2025-10-14 19:35:38.356681+00:00,DON PEREZ,UC7IKBWUsuyjKOuki0gxGN4Q,Staying hydrated 💪🏽
2025-10-14 19:35:47.368647+00:00,David,UCNa-UrugIZQG34Nc2hq8ShQ,ISL
2025-10-14 19:35:47.891702+00:00,fabiojr,UC-gcoCsrqxoGh_FrbsBLPJQ,kenya
2025-10-14 19:35:50.288563+00:00,Revolutionary Potential,UCqcJikh2ffGU1k40d5Erqcw,Belgian 2nd Tier
2025-10-14 19:35:51.706205+00:00,Imran Uddin,UCogxL56NwJ5d8cBZtb0VFBg,We need Saaed in the US for the World Cup and in Saudi for Wrestlemania
2025-10-14 19:35:52.490725+00:00,Arkhera,UCcvaPH95sIAjZO8KccP7x0g,Singapore premier league streamed free on youtube
2025-10-14 19:35:53.225531+00:00,Tokyo Gooner,UCKqFf-jPB3EMQu4crhEVBBQ,Regend of Japan football🇯🇵
2025-10-14 19:35:53.437563+00:00,Haidar,UCb-IKY54385hm62EWnAZDwg,What are u watching the game from
2025-10-14 19:35:54.955877+00:00,Ahmad Afiq,UC0SHIVdUTIhQzDXrFh3jyAw,Malaysia Super League
2025-10-14 19:35:57.897449+00:00,Max Comiskey,UC1yc1UqJmtjJFIjeeZCTUMw,where can you watch the game
2025-10-14 19:36:00.948653+00:00,MONTY,UCwMeYFvXYlYH-e9xXFCBz2w,Jamaican league
2025-10-14 19:36:01.642946+00:00,AJ,UCFVNOPedlLtmpn98Eq36lyw,Saeed you might need to drop some commentart today. Stream is like goal dust!
2025-10-14 19:36:05.126182+00:00,Zenkuro,UCI1hC4US7ZBAVZwgxsbY13g,I was going to watch it but no estevao so imma pass
2025-10-14 19:36:05.201192+00:00,Geordie Toon for life.,UC0ExuXMmqV42-slev8sQzbA,Minute silence for Man U not winning 2 games in a row 😉sorry Saeed 🤣🤣🖤🤍
2025-10-14 19:36:09.994443+00:00,Peter- HOUDINI-,UCOGKKG20CW6Na4Cf3T5K4bQ,Where you watching the game
2025-10-14 19:36:10.537824+00:00,Ghaley JR,UCMMk5zeQCuLXc9s9y5A23-g,Brazil ❤️🫶from Nepal 🇳🇵
2025-10-14 19:36:11.728246+00:00,Mustafa Muqarrab,UC7qjjwfJOwgTuU1kmrlGDSw,bless you saed
2025-10-14 19:36:11.728246+00:00,Mustafa Muqarrab,UC7qjjwfJOwgTuU1kmrlGDSw,bless you saed
2025-10-14 19:36:11.764243+00:00,GenXg,UClL-T48u8Bw4vIzfdhWzboA,bless you
2025-10-14 19:36:11.764243+00:00,GenXg,UClL-T48u8Bw4vIzfdhWzboA,bless you
