messageId,timestamp,author,authorChannelId,isChatOwner,isChatSponsor,isVerified,message
LCC.EhwKGkNPSDNtckdOMW84REZRVUsxZ0FkUjFzSkZ3,2025-09-14 00:58:08.296753+00:00,Nadège Moukoko,UCpT9jlsz5VZu1wHpElMGTsA,False,False,False,Yanis tu penses qui va gagner le soulier d'or cette saison ?
LCC.EhwKGkNLLVRyYkdOMW84REZiRUgxZ0FkZnAwaGVB,2025-09-14 00:58:08.594152+00:00,lacitémarocain,UCbjvvJecOPZzlGFSnSDlvEw,False,False,False,2-2
LCC.EhwKGkNQU292N0dOMW84REZjN0x3Z1FkaWdBZVZ3,2025-09-14 00:58:08.891297+00:00,It’sBRETIKXX⚪️,UCBgEcuhzn0hCX1CMhM1BPRw,False,False,False,Y’a pas buts
LCC.EhwKGkNMR2xpN0tOMW84REZkd0kxZ0FkY19BNWZn,2025-09-14 00:58:10.137815+00:00,Les tueurs 10,UCdxlfCRXYsTm1BExvpRysog,False,False,False,r9 plus fort que Cavani
LCC.EhwKGkNPaUpwTEtOMW84REZTVUYxZ0FkM1dnN1NR,2025-09-14 00:58:10.543937+00:00,Dje_ry8,UCNtHlWtCBDmBqddk-lgl0Hg,False,False,False,2-2
LCC.EhwKGkNPN24yN0tOMW84REZiQUsxZ0FkN3ljeUR3,2025-09-14 00:58:11.456237+00:00,guy tossah,UCmJNHpdToaNkwFJmzng55eQ,False,False,False,POURQUOI L'OM A LAISSÉ CALETA ÇAR PARTIR?
LCC.EhwKGkNQR1hsck9OMW84REZRRUgxZ0FkLU5NUHp3,2025-09-14 00:58:12.411236+00:00,lacitémarocain,UCbjvvJecOPZzlGFSnSDlvEw,False,False,False,2-2
LCC.EhwKGkNQcnl0ck9OMW84REZRUUoxZ0FkXzFVNlVR,2025-09-14 00:58:12.949952+00:00,Henri Soro,UCLNKGuXTy_C-lakTMNohPAg,False,False,False,🙏🙏🙏🙏
LCC.EhwKGkNKTFg2ck9OMW84REZjSXQxZ0FkLTRNRVBR,2025-09-14 00:58:13.796113+00:00,FunRoundworm,UCkKRN44pBVsYByWULqrRjKA,False,False,False,ils sont trop forts il vont retrouver la liga
LCC.EhwKGkNJR0s3N09OMW84REZVRUsxZ0FkX01RYlNR,2025-09-14 00:58:13.869232+00:00,Les tueurs 10,UCdxlfCRXYsTm1BExvpRysog,False,False,False,hala Madrid 🤍🤍🤍🤍🤍
LCC.EhwKGkNOXy0xclNOMW84REZjVEh3Z1FkNkZraHRR,2025-09-14 00:58:15.571232+00:00,Mouhamadoul Malick DIAGNE,UCiVACnLNHSHQMn9k-heQ_1Q,False,False,False,:stopwatch-blue-hand-timer::stopwatch-blue-hand-timer:
LCC.EhwKGkNMaS1uYldOMW84REZka0l5d1FkV2hzMlNn,2025-09-14 00:58:16.725896+00:00,lacitémarocain,UCbjvvJecOPZzlGFSnSDlvEw,False,False,False,2-2
LCC.EhwKGkNNM2FucldOMW84REZTVUYxZ0FkM1dnN1NR,2025-09-14 00:58:16.745831+00:00,God magie 079,UCVg9UCJgvfbQBvmsfffNVzw,False,False,False,aller kyky
LCC.EhwKGkNMMlFxTFdOMW84REZlb0wxZ0FkNkJzeTRR,2025-09-14 00:58:16.902113+00:00,Amaury ,UCUtr6dWmsR_zXIkcRbxqaqA,False,False,False,2 1
LCC.EhwKGkNPTzYwcldOMW84REZkd0kxZ0FkY19BNWZn,2025-09-14 00:58:17.594009+00:00,Argant Lucson,UCMfRwGYwdrs6LD9EUz80IIQ,False,False,False,2 a 2
LCC.EhwKGkNKaTEtYldOMW84REZaSEFsQWtkUTE0SFdn,2025-09-14 00:58:18.231844+00:00,Oli D.L,UCYNsjf-zP6bz7KL4YFSmyCg,False,False,False,non
LCC.EhwKGkNMWHY0cmFOMW84REZRUUoxZ0FkXzFVNlVR,2025-09-14 00:58:19.960945+00:00,Christ Guenoukpati,UCZr7mXDTlMzEg0s03joXkFw,False,False,False,Le but de realllllllllllllllll
LCC.EhwKGkNOUHotYmFOMW84REZSNEsxZ0FkR0I4VW13,2025-09-14 00:58:20.337868+00:00,Sofiane Juve,UCXOj3wHYs28WdmWukZjut3w,False,False,False,Derbi d'Italie va commencer
LCC.EhwKGkNOenZtTGlOMW84REZRRUgxZ0FkLU5NUHp3,2025-09-14 00:58:22.941321+00:00,Coumba la meringuée ,UCwLnMYE4jgLJIDfUBII38qg,False,False,False,hala Madrid 🌸🤍🤍🥺
LCC.EhwKGkNQN3gwTG1OMW84REZiQUsxZ0FkN3ljeUR3,2025-09-14 00:58:25.956229+00:00,Dje_ry8,UCNtHlWtCBDmBqddk-lgl0Hg,False,False,False,2-2
LCC.EhwKGkNOLUE1TG1OMW84REZmVUoxZ0FkdEU4N3RB,2025-09-14 00:58:26.270049+00:00,Olivier Kabengele,UC3hOlWo0Z1NS_zReK54FzCA,False,False,False,2-1
LCC.EhwKGkNMM3lfYnFOMW84REZUc0gxZ0FkTlp3VVV3,2025-09-14 00:58:28.794617+00:00,𝐘𝐎𝐔𝐗𝐈𝐄𝐃𝐈𝐓𝐙,UC3-N9UOMjRRu8uJnv-7lQLw,False,False,False,Hala Madrid y nada más 🤍🤍
LCC.EhwKGkNOSGp1YnVOMW84REZaSEFsQWtkUTE0SFdn,2025-09-14 00:58:29.772533+00:00,Zack,UCkE6g0QpYaUI9NDEKveRgkg,False,False,False,Mbp
LCC.EhwKGkNOdkJpTDJOMW84REZSRU4xZ0FkSThRSDFR,2025-09-14 00:58:33.159689+00:00,Mehenni Djadda,UClFUrTAvc2EH3_cZGJiaIMQ,False,False,False,Il va y avoir trois 1
LCC.EhwKGkNKel95YjJOMW84REZRVUsxZ0FkUjFzSkZ3,2025-09-14 00:58:34.232617+00:00,Antoine Litvak,UCoWHhpBEnLHUjujHlCtex0w,False,False,False,kiky du bondyyyyy
LCC.EhwKGkNKeWI1NzJOMW84REZka0l5d1FkV2hzMlNn,2025-09-14 00:58:34.713441+00:00,penielleofficiel,UC1A1bAKCJaHCb2G1ApUFCPA,False,False,False,3-1pour le real
LCC.EhwKGkNPYVAzcjZOMW84REZiRUgxZ0FkZnAwaGVB,2025-09-14 00:58:36.658739+00:00,Nadège Moukoko,UCpT9jlsz5VZu1wHpElMGTsA,False,False,False,Yanis tu penses qui va gagner le soulier d'or cette saison ?
LCC.EhwKGkNKLUdqYi1OMW84REZkVUoxZ0FkNmhRdnFB,2025-09-14 00:58:37.427127+00:00,Dramane Sawadogo,UC9s4WJNr7SmV1hmU9QGbl7Q,False,False,False,:text-green-game-over::text-green-game-over::text-green-game-over::text-green-game-over::text-green-game-over::text-green-game-over:
LCC.EhwKGkNOVEJsYi1OMW84REZRUXYxZ0Fkay1FcWJR,2025-09-14 00:58:37.566132+00:00,God magie 079,UCVg9UCJgvfbQBvmsfffNVzw,False,False,False,tener s'il vous plaît
LCC.EhwKGkNKTEY5Yi1OMW84REZkb0YxZ0FkMTRzOUR3,2025-09-14 00:58:39.139640+00:00,Yohan Morel,UCNwPW9nrjp4w5ZC-7ZD0pfg,False,False,False,:face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes:
LCC.EhwKGkNJZXpwc0NOMW84REZjSXQxZ0FkLTRNRVBR,2025-09-14 00:58:39.940571+00:00,Assurance_Art,UCa26qvhNtI7tcFNCZuW4WTw,False,False,False,3-1 Pour le Réal Madrid
LCC.EhwKGkNJZmd3OENOMW84REZRRUgxZ0FkLU5NUHp3,2025-09-14 00:58:40.422901+00:00,Les tueurs 10,UCdxlfCRXYsTm1BExvpRysog,False,False,False,goalllllll Madrid
LCC.EhwKGkNMek94Y0NOMW84REZkd0kxZ0FkY19BNWZn,2025-09-14 00:58:40.453808+00:00,Abderahmane,UCrq5GHF6BtMYjkOT-dNTMqg,False,False,False,Null la sociedad ptdr
LCC.EhwKGkNPZjR4OEdOMW84REZSNEsxZ0FkR0I4VW13,2025-09-14 00:58:42.586527+00:00,Farah Labzour (‫شهيوات لالة فرح‬‎),UCl8rwVU_2SE9mYbBSb8kS1Q,False,False,False,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
LCC.EhwKGkNPbkc1TUdOMW84REZaWDVGZ2tkOG5namF3,2025-09-14 00:58:43.056580+00:00,Lionel Kiama,UCaV-4fhgP8j6UgqJP7CnZkA,False,False,False,........ ... ....
LCC.EhwKGkNQU2Voc0tOMW84REZTVUYxZ0FkM1dnN1NR,2025-09-14 00:58:43.608600+00:00,Henri Soro,UCLNKGuXTy_C-lakTMNohPAg,False,False,False,1-3 pour le Real Madrid
LCC.EhwKGkNNQ2xqTUtOMW84REZkb0YxZ0FkMTRzOUR3,2025-09-14 00:58:43.706862+00:00,Marapro18 ,UCioxKtoS-jcLy_LygmbPWfA,False,False,False,3_1
LCC.EhwKGkNNSFFqOE9OMW84REZUc0gxZ0FkTlp3VVV3,2025-09-14 00:58:45.862559+00:00,Lyes Aliane,UC_3t7znU5RZafhqDvkALDHw,False,False,False,3.1 mbappe
LCC.EhwKGkNPN0p6c09OMW84REZUc0gxZ0FkTlp3VVV3,2025-09-14 00:58:46.895991+00:00,Samy Ennesraoui,UCQ4w8ucyFMNFEZt5HZv8V0Q,False,False,False,Tu vas faire réal om ?
LCC.EhwKGkNQN0oyTVNOMW84REZRVUsxZ0FkUjFzSkZ3,2025-09-14 00:58:49.152494+00:00,Nazim Hadjslimane,UCpmw2tPJ1MiR0nX84Q9399g,False,False,False,T le goat pour les commentaires repose toi un peu
LCC.EhwKGkNQclFvc2VOMW84REZkb0YxZ0FkMTRzOUR3,2025-09-14 00:58:54.559895+00:00,Dramane Sawadogo,UC9s4WJNr7SmV1hmU9QGbl7Q,False,False,False,ouiihg bonjour
LCC.EhwKGkNMN3NxY2VOMW84REZTSXQxZ0FkWUpFR0tn,2025-09-14 00:58:54.685373+00:00,Yered Bouedy,UCvYUePAEK4Ial9ggk65eIlg,False,False,False,j'avais dit prono 2-1 mais pr Sociedad 🥲
LCC.EhwKGkNMS2oyc2VOMW84REZTSXQxZ0FkWUpFR0tn,2025-09-14 00:58:55.470405+00:00,𝐘𝐎𝐔𝐗𝐈𝐄𝐃𝐈𝐓𝐙,UC3-N9UOMjRRu8uJnv-7lQLw,False,False,False,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
LCC.EhwKGkNJQ0E2OGVOMW84REZaOEsxZ0FkSUY4d3RR,2025-09-14 00:58:55.746655+00:00,Sharujan,UCIkp0RKXYFcq3cMNkirLTGg,False,False,False,1-3
LCC.EhwKGkNJdk83OGVOMW84REZiRUgxZ0FkZnAwaGVB,2025-09-14 00:58:55.821791+00:00,FunRoundworm,UCkKRN44pBVsYByWULqrRjKA,False,False,False,Le réal va manger l'OM je vous le dit
LCC.EhwKGkNNWGR0OGlOMW84REZlb1gxZ0FkRUJJMVVR,2025-09-14 00:58:57.003058+00:00,Jonas Dossou,UCQIkX2M61BCSh4eBzPiJhJQ,False,False,False,:text-yellow-goal::text-yellow-goal::buffering::buffering::buffering::buffering::buffering:
LCC.EhwKGkNPYWF2Y2lOMW84REZTSXQxZ0FkWUpFR0tn,2025-09-14 00:58:57.101608+00:00,penielleofficiel,UC1A1bAKCJaHCb2G1ApUFCPA,False,False,False,:face-pink-tears::face-pink-tears::face-pink-tears::face-pink-tears::text-yellow-goal::text-yellow-goal::text-yellow-goal::text-yellow-goal:
LCC.EhwKGkNNNnEyc2lOMW84REZVRUsxZ0FkX01RYlNR,2025-09-14 00:58:57.569925+00:00,Nadège Moukoko,UCpT9jlsz5VZu1wHpElMGTsA,False,False,False,Yanis tu penses qui va gagner le soulier d'or cette saison ?
LCC.EhwKGkNNSGQ2Y2lOMW84REZlb1gxZ0FkRUJJMVVR,2025-09-14 00:58:57.820811+00:00,God magie 079,UCVg9UCJgvfbQBvmsfffNVzw,False,False,False,ahh tener le réal
LCC.EhwKGkNNckdvc21OMW84REZSNEsxZ0FkR0I4VW13,2025-09-14 00:58:58.750810+00:00,N4H_OFFツ(LUIS ENRIQUE CHAMPION),UCgIafqGgCsMtZ0fvMM7DVxQ,False,False,False,jsuis sur mon pc
LCC.EhwKGkNJZV9yY21OMW84REZaOEsxZ0FkSUY4d3RR,2025-09-14 00:58:58.933047+00:00,Jumsi El rey Jumsi El rey,UCMSbbKeuYa1gxLUpgKdwyEA,False,False,False,égalisation 🔥🔥🔥🔥🔥🔥
LCC.EhwKGkNOdWw3TW1OMW84REZlb0wxZ0FkNkJzeTRR,2025-09-14 00:58:59.969077+00:00,Tahari Djalila,UCbZxDa1KKq5chAkML76fHlw,False,False,False,le goat
LCC.EhwKGkNKM2Vzc3FOMW84REZVRUsxZ0FkX01RYlNR,2025-09-14 00:59:01.113688+00:00,Hawa Cisse,UCEBs-PqPHuzSi-rA6pwHYAQ,False,False,False,HALLA MADRID:washhands:
LCC.EhwKGkNKWHp3c3VOMW84REZkb0YxZ0FkMTRzOUR3,2025-09-14 00:59:03.476365+00:00,Pingas jones,UCXcSShq8bRyIUmHGaXOZUbw,False,False,False,Real vient de marquer
LCC.EhwKGkNLRFBnTTJOMW84REZTSXQxZ0FkWUpFR0tn,2025-09-14 00:59:06.587995+00:00,Mountari William,UCVbQXTs0FKfMEymS0jsWKyQ,False,False,False,hala Madrid 🥰 ont va gagner
LCC.EhwKGkNLcmd0YzJOMW84REZRUXYxZ0Fkay1FcWJR,2025-09-14 00:59:07.458578+00:00,Seydou Chérif,UC6eFKpRQSErg_XHyD9u40UQ,False,False,False,Oui
LCC.EhwKGkNMN0VnczZOMW84REZSNEsxZ0FkR0I4VW13,2025-09-14 00:59:08.714288+00:00,lacitémarocain,UCbjvvJecOPZzlGFSnSDlvEw,False,False,False,2-2
LCC.EhwKGkNMdUp2YzZOMW84REZRUXYxZ0Fkay1FcWJR,2025-09-14 00:59:09.671410+00:00,Nadège Moukoko,UCpT9jlsz5VZu1wHpElMGTsA,False,False,False,Yanis tu penses qui va gagner le soulier d'or cette saison ?
LCC.EhwKGkNNZWh5TTZOMW84REZkb0YxZ0FkMTRzOUR3,2025-09-14 00:59:09.854987+00:00,bs theflimar,UCm9TEHVRnPA_xIvd4Tj7UiA,False,False,False,Trent????
LCC.EhwKGkNQUGwtczZOMW84REZmVUkxZ0FkQ3BNZ3pn,2025-09-14 00:59:10.683717+00:00,GAMER FC goat,UC1njCKhrYGJGT88iB7EBpog,False,False,False,SOCIEDAD est fort
LCC.EhwKGkNLajFtcy1OMW84REZRUXYxZ0Fkay1FcWJR,2025-09-14 00:59:11.210543+00:00,Big_samuel,UCYaaFiWM5T52BjA8zGo9glg,False,False,False,Encore 10min tenez bon on dois gagner ce match
LCC.EhwKGkNQckxycy1OMW84REZVRER3Z1FkMFdjNHhn,2025-09-14 00:59:11.531319+00:00,Mouhamadoul Malick DIAGNE,UCiVACnLNHSHQMn9k-heQ_1Q,False,False,False,:buffering::buffering:
LCC.EhwKGkNPNmg2cy1OMW84REZkNHYxZ0FkMFVzYnJR,2025-09-14 00:59:12.511304+00:00,alexandre messein,UCrfr4IOJx4WElwCU3sqcxVA,False,False,False,ça va être nul
LCC.EhwKGkNLYU1sZENOMW84REZka0l5d1FkV2hzMlNn,2025-09-14 00:59:13.211409+00:00,Abderahmane,UCrq5GHF6BtMYjkOT-dNTMqg,False,False,False,Il joue à 10 contre 11 mais ils arrivent à ne pas trouver de solution c vrm une dinguerie
LCC.EhwKGkNNUzB0TkNOMW84REZhb0sxZ0FkLVE4NWR3,2025-09-14 00:59:13.725230+00:00,lacitémarocain,UCbjvvJecOPZzlGFSnSDlvEw,False,False,False,2-2
LCC.EhwKGkNOcU00dENOMW84REZRVUsxZ0FkUjFzSkZ3,2025-09-14 00:59:14.475715+00:00,Samy Ennesraoui,UCQ4w8ucyFMNFEZt5HZv8V0Q,False,False,False,Tu fais réal OM
LCC.EhwKGkNQU1ZnTkdOMW84REZYZ3YxZ0FkYlg0NmF3,2025-09-14 00:59:14.966583+00:00,God magie 079,UCVg9UCJgvfbQBvmsfffNVzw,False,False,False,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
LCC.EhwKGkNJdm1sdEdOMW84REZlQ1A1UWNkT0E0U29R,2025-09-14 00:59:15.337895+00:00,Lionel Kiama,UCaV-4fhgP8j6UgqJP7CnZkA,False,False,False,1:2
LCC.EhwKGkNLV3dfZEtOMW84REZYZ0gxZ0FkcEpBQUdB,2025-09-14 00:59:19.114921+00:00,Remi,UCuvQlMPakXYpjesZN5EosGQ,False,False,False,real om tu fais ????
LCC.EhwKGkNQNlVfdEtOMW84REZmVERsQWtkV09jQnNn,2025-09-14 00:59:19.127758+00:00,CHRISTIANO,UCP29IGlh6NsMuSc9nwWxYrA,False,False,False,1-4
LCC.EhwKGkNKV1NuOU9OMW84REZjSXQxZ0FkLTRNRVBR,2025-09-14 00:59:19.673889+00:00,lacitémarocain,UCbjvvJecOPZzlGFSnSDlvEw,False,False,False,2-2
LCC.EhwKGkNNem80dE9OMW84REZhb0sxZ0FkLVE4NWR3,2025-09-14 00:59:20.777358+00:00,Yves Manao,UCu_3z0zZ8XEgzoaWA4jfgAQ,False,False,False,VAAAMMMOOOOOSSS
LCC.EhwKGkNPdV9xTlNOMW84REZaOEsxZ0FkSUY4d3RR,2025-09-14 00:59:21.919415+00:00,Ténéré 227,UCtoCxUe-Tj67hfC-45bjgaw,False,False,False,vraiment 😭
LCC.EhwKGkNPT2pyTlNOMW84REZRVUsxZ0FkUjFzSkZ3,2025-09-14 00:59:21.979872+00:00,Ouwaiss Benzouina,UCdq9_tNnMlRE-bq-qoKRqaQ,False,False,False,Wa w9
LCC.EhwKGkNQYmkyTlNOMW84REZTSXQxZ0FkWUpFR0tn,2025-09-14 00:59:22.710976+00:00,Artists Renan,UCL1Q5MBazlfj0IXExBGX9jA,False,False,False,c'est compliqué pour faire 2 - 2
LCC.EhwKGkNJaVBodFdOMW84REZiQUsxZ0FkN3ljeUR3,2025-09-14 00:59:23.454448+00:00,Atomic,UCJAvBm2WUYuQux-DlPcQqxg,False,False,False,2-2
LCC.EhwKGkNQQ1V0OVdOMW84REZZQUoxZ0FkbWt3UjNR,2025-09-14 00:59:24.257171+00:00,Badembo Diatta,UCp5JAeiWoIMTQOZSiu328rA,False,False,False,are you pleurer
LCC.EhwKGkNMRE53dFdOMW84REZTVUYxZ0FkM1dnN1NR,2025-09-14 00:59:24.443523+00:00,lacitémarocain,UCbjvvJecOPZzlGFSnSDlvEw,False,False,False,2-2
LCC.EhwKGkNQLUM5dFdOMW84REZZQUoxZ0FkbWt3UjNR,2025-09-14 00:59:25.284540+00:00,Fofana Eugeo,UCEu8yJmDSrXwMMT2v7sj-sA,False,False,False,1.3:volcano-green-lava-orange::volcano-green-lava-orange::volcano-green-lava-orange:
LCC.EhwKGkNPeTgzTmFOMW84REZTSXQxZ0FkWUpFR0tn,2025-09-14 00:59:26.964311+00:00,Yvann Diomande,UC90VXd3QpKfgcj1QWITjohg,False,False,False,2-2
LCC.EhwKGkNJZUgtZGFOMW84REZiQUsxZ0FkN3ljeUR3,2025-09-14 00:59:27.431790+00:00,FunRoundworm,UCkKRN44pBVsYByWULqrRjKA,False,False,False,3-1 reprise de Mbappé
LCC.EhwKGkNOdjlfTmFOMW84REZRUUoxZ0FkXzFVNlVR,2025-09-14 00:59:27.497410+00:00,Yanis Houenou,UCjwSaEoE0D9u9DZbCL_exTw,False,False,False,ouai
LCC.EhwKGkNNUzhoOWVOMW84REZjSXQxZ0FkLTRNRVBR,2025-09-14 00:59:27.667868+00:00,Erwan Xia,UCkukbLVv57ibfSiPSnRDnWQ,False,False,False,cette saison les arbitres dégaine le carton rouge
LCC.EhwKGkNOeVV6OWVOMW84REZkd0kxZ0FkY19BNWZn,2025-09-14 00:59:28.845131+00:00,Z-ZECHIEL73,UCnQGWIv7hkFVFLJJA_NRamg,False,False,False,Arrêter d’écrire 2-2
LCC.EhwKGkNONngwdGVOMW84REZSNEsxZ0FkR0I4VW13,2025-09-14 00:59:28.895892+00:00,Les tueurs 10,UCdxlfCRXYsTm1BExvpRysog,False,False,False,goalllllll mbappe 88'
LCC.EhwKGkNLU1NfOWVOMW84REZSNEsxZ0FkR0I4VW13,2025-09-14 00:59:29.628979+00:00,lacitémarocain,UCbjvvJecOPZzlGFSnSDlvEw,False,False,False,w9
LCC.EhwKGkNQU3VudGlOMW84REZTVUYxZ0FkM1dnN1NR,2025-09-14 00:59:30.141184+00:00,Emmanuel Laki,UCzVUtSbGEsSyOIygnlrJzVQ,False,False,False,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
LCC.EhwKGkNMaXFvTmlOMW84REZlb0wxZ0FkNkJzeTRR,2025-09-14 00:59:30.177508+00:00,Ludovic B,UC6fqugMXuRjl4ifyBIdFLUQ,False,False,False,IL ES CHO COUCOUR
