timestamp,author,authorChannelId,message
2025-10-27 00:16:16.970688+00:00,Shezin Shah,UCyk1j6J2ir5ZVFD5Y0brjdQ,:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:
2025-10-27 00:16:17.020130+00:00,جذاب الهيدشوت,UC1sIFtNPt6xWlrkLzx6zk2A,يحيكي
2025-10-27 00:16:17.054599+00:00,God smt,UC2PqR8ryJRyBVrUEZEdRl1w,1min
2025-10-27 00:16:17.306135+00:00,DIL GAMER,UC5clgN2VQj2SrVEQ0Odc26Q,HALA MADRID🔥🔥🔥
2025-10-27 00:16:17.345711+00:00,Gia,UCVYg37qZcKto4NLQ5T4TrqA,MADRID
2025-10-27 00:16:17.369565+00:00,Rudi Dian,UC7RRMQMekIhiZj3_z2vD_JA,sido tanding pora?
2025-10-27 00:16:17.427281+00:00,ARMENIA,UCAo_Wj0de-HMmrk-Cd-LXNw,we can watch the match here
2025-10-27 00:16:17.513637+00:00,Kaunghtet san,UCURYjZ2XF43GMf5LxTGtc7A,💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪
2025-10-27 00:16:17.671993+00:00,TKB TOMGAMING,UCzl2WzWreO9BZk2_Mv8EYow,8:45
2025-10-27 00:16:17.693839+00:00,Pickens.aep1,UCyHyGXShTD1Q7BttOcErICw,HALA MADRIDDD
2025-10-27 00:16:17.761230+00:00,Julian Van Tuil,UCReP09qoBj1PTVzNHdP5uYg,hala madris
2025-10-27 00:16:17.842770+00:00,Makeš,UCxIxAKMzkl-MM2F8l5Rslbw,ejenamy
2025-10-27 00:16:17.897833+00:00,Bairon Duque,UC2d_x07IHlTNSEAek8hP1Bg,el partido boboz
2025-10-27 00:16:17.920558+00:00,Emma caicedo,UCF-6pzecy7C9vHpXXwO8xtg,westcol
2025-10-27 00:16:18.047218+00:00,Kemazpakezet,UClmqV931Rpr5UtORoLV99bA,JANCOKKK
2025-10-27 00:16:18.128731+00:00,Anna Thombare,UCDO5c4KzT00AXGPBZG-Xbxg,hi
2025-10-27 00:16:18.543141+00:00,UR .  Cristiano,UCgx-jfOqW06fsbYmPlBcJgw,hala Madrid
2025-10-27 00:16:18.592861+00:00,ALL GAMER,UCNLwb8NpLhnnZokozYuVGoQ,real Madrid
2025-10-27 00:16:18.781003+00:00,Gia,UCVYg37qZcKto4NLQ5T4TrqA,MADRID
2025-10-27 00:16:18.902811+00:00,Nafisa Ergasheva,UCm_53mnYJjTEo12FSCv1eNA,🇺🇿🇺🇿
2025-10-27 00:16:19.066226+00:00,Mr faste,UC7J7SDZrs22528TElNBJzBA,hiii
2025-10-27 00:16:19.200469+00:00,Pashtana Amiri,UCpMfyPBjPKJY1wLm_r8jPIg,hala madrid⚽🦸🏼‍♂️🦸🏼‍♂️🦹🦹
2025-10-27 00:16:19.234244+00:00,Puja Some,UCHQDLQ_mbndPvI39agiLBXA,UNO
2025-10-27 00:16:19.313741+00:00,Yasin Aliev,UCKDMpoGZmFCAqw9kRq0OOWQ,🇹🇷
2025-10-27 00:16:19.679358+00:00,Meliani777,UCbnlQa8_pJ444hvbV2fn3og,Madrid
2025-10-27 00:16:19.750475+00:00,Tabassum Alvi,UCO5DclMYdsubFm-M1A56g1g,hala madrid
2025-10-27 00:16:20.032178+00:00,Saifuhira 24,UCW6o6ByiHH-AigG_aKNykBw,show the match
2025-10-27 00:16:20.055383+00:00,Luis Mario brawstar,UCu9iMa7K7XzbTcP-s29V1ww,pongan el partido
2025-10-27 00:16:20.400362+00:00,Marhaba ,UCiGo2rbuDkmNuuuW4WJB3Mw,visca barca
2025-10-27 00:16:20.461920+00:00,Raju Karki,UCAUfaZelKKv8er3mg0QGjAg,barca
2025-10-27 00:16:20.504487+00:00,Ayiza Shariq,UC1hUY3khv3Ss1OQT4yhMwww,🤍🤍🤍🤍🤍
2025-10-27 00:16:20.539641+00:00,𝐀𝐲𝐚𝐚𝐧𝐭𝐡𝐞𝐲𝐨𝐮𝐭𝐮𝐛𝐞𝐫,UCdDfINYOX32COF3ad1d9g7g,hala madrid prediction rma 3-2 bar
2025-10-27 00:16:20.572708+00:00,kendo brawl,UCpEpvlA_qAuWh22zVFtiQnQ,uno does stress Hala madrid
