file,country,topic_id,top_words
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,0,"ass, her, feeling, james, bye, dcl, come, guys, watching, trouble"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,1,"keep, haha, loving, show, money, kill, button, lifetime, frank, losing"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,2,"scored, he, don, looked, ball, d, fullback, captain, window, relax"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,3,"win, bread, sending, morning, lucky, liverpool, watching, kill, remember, squad"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,4,"yellow, park, open, morning, seen, kbizzle, push, gyokeres, 99, win"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,5,"face, green, turkish, song, celebrate, women, yo, orange, lol, bow"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,6,"arsenal, changes, strike, diago, joke, cards, career, player, tactics, talking"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,7,"tel, mathys, werner, timo, gone, me, hating, henry, chat, know"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,8,"facts, gap, mephisto, black, aint, jamaica, how, assna, lost, we"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,9,"bench, psychologist, trip, midweek, hair, sick, stay, gray, archie, man"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,10,"talking, barely, biggest, baller, ray, robbie, stream, him, looks, forest"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,11,"lol, lip, finished, scamorim, fucking, his, love, ty, face, purple"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,12,"ex, wtf, subbed, 20, minutes, feeling, excuses, gonna, manager, gone"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,13,"kudus, soon, job, shameless, yessss, ever, hilarious, tommy, love, mate"
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log.csv,Unknown,14,"keeper, arteta, him, cover, ice, lost, hit, games, fam, quality"
