file,country,topic_id,top_words
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,0,"shit, overrated, foden, talking, never, they, working, hansen, bollocks, should"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,1,"vialli, xavi, chris, where, s, it, john, is"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,2,"terry, 99, tuchel, injury, back, his, doesnt, arrogant, play, harry"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,3,"watts, curly, baby, son, seen, sound, time, room, 5, would"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,4,"cost, simons, fa, already, corner, half, nothing, really, top, don"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,5,"jesus, michael, nepo, jordan, jackson, definitely, exist, baby, famous, person"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,6,"compared, chinese, picking, tournaments, leagues, united, won, clubs, money, big"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,7,"laugh, song, english, favourite, everyone, miles, weeks, ago, born, golden"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,8,"cares, england, players, leave, club, comes, typical, honestly, big, fans"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,9,"wimbledon, terry, probably, clarkson, lost, west, short, here, pretty, paul"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,10,"rory, charlie, golden, demon, hunters, piers, knows, dootwoot, who, lol"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,11,"tuchel, didnt, watch, speaking, weeks, madrid, ago, arrogant, man, crazy"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,12,"lmao, big, 8, theres, lmaoooo, dootwoot, literally, prem, lol, only"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,13,"hoddle, look, this, at"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,14,"liverpool, fans, good, chelsea, winning, midfield, thinking, kudus, were, way"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,15,"not, mother, bellinghams, michelle, haha, look, being, stone, who, rory"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,16,"listening, chat, job, superchats, believe, reading, hell, today, t, you"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,17,"ruud, theres, scouse, twist, oliver"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,18,"stupid, ajax, hate, story, both, horrendous, people, this, scouse, pretty"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,19,"yes, lee, gotta, im, be, why"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,20,"hell, week, african, r, kelly, viewers, scottish, nobody, lol, same"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,21,"viewbotting, chats, thinking, empty, seen, im, back, normal, hand, hahaha"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,22,"go, scoring, hahahahahaha, manchester, reading, your, fans, man, chat, we"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,23,"australia, listening, on, from, the"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,24,"twat, support, mate, rubbish, old, nothing, money, uk, feel, win"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,25,"she, casino, twat, benefits, guy, biggest, injured, fan, back, 5"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,26,"born, ireland, played, mckola, tbf, half, back, brought, rice, he"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,27,"amorim, great, pay, playing, wants, juan, guy, bruno, got, who"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,28,"kenny, dalglish, solid, aye, daglish"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,29,"dalglish, daglish, must, be"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,30,"schmeichel, kasper, wasn, turn, come, city, yes, at, t, a"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,31,"lampard, wright"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,32,"story, end, gomez, tuchel, buffalo, of, 4, is, the"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,33,"chat, don, lmao, weird, people, superchats, now, read, guys, out"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,34,"reds, changes, jamie, prem, by, 1, you, on"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,35,"black, class, country, liverpool, birmingham, both, bristol, played, dalglish, at"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,36,"talk, opinion, famously, reputation, bad, history, 100, united, it, t"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,37,"stone, sharon, wasn, thats, that, t, s"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,38,"maldini, right, foot, france, 0, scored, guys, him, think, you"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,39,"rory, way, hate, messi, thats, never, wrong, talking, hobbies, tuchel"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,40,"some, sure, country, im, kids, cornish, black, us, anything, think"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,41,"india, moyes, try"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,42,"injured, neck, lewin, calvert, became, her, palmer, jude, my, are"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,43,"flav, ask, look, finally, dead, no, like, laugh, he, the"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,44,"frank, job, man, madrid, ian, think, scottish, legend, ronaldo, george"
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log.csv,Unknown,45,"bellingham, palmer, fit, coming, should, wharton, off, him, players, t"
