file,country,topic_id,top_words
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,0,"leeds, whites, play, tell, lads, heart, chill, front, good, him"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,1,"ffs, oooohhhhh, crosses, longstaff, dcl, keep, spurs, half, shot, assist"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,2,"press, shoulder, pulling, negativity, shameless, faith, europe, come, side, watch"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,3,"best, leeds, world, awesome, club, happy, fans, team, why, chat"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,4,"alien, break, old, corner, gudmundson, happier, left, stand, guy, front"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,5,"joe, wants, hear, yourself, cause, wipe, tattoo, thoughts, crying, gnonto"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,6,"cry, road, shite, head, brother, bucket, support, went, okafur, manager"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,7,"goal, celebrate, archie, gray, firestick, clinical, wirtz, our, wingers, messi"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,8,"ref, wtf, beech, clean, biased, joke, thomas, soft, you, spurs"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,9,"win, season, chances, competitive, europe, we, last, saw, killer, sneaky"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,10,"channel, aaronsen, days, dead, melt, lol, wrong, wonder, run, himself"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,11,"striker, fans, our, worried, deserve, came, tbh, shot, respect, left"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,12,"score, hope, doesnt, sava, easy, press, chances, player, high, early"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,13,"unlucky, gudmundson, palhinha, looking, bad, soon, whats, someone, left, longstaff"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,14,"better, liverpool, madrid, real, arsenal, messi, field, equaliser, carlos, man"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,15,"kudus, tracy, send, card, complaining, bee, fan, guy, already, lol"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,16,"gudmundsson, turquoise, david, 70th, left, goal, watch, dead, man, tackle"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,17,"ampadu, amps, evening, yellow, taking, wirtz, tel, they, better, needs"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,18,"injured, gnonto, fell, biting, nails, acl, guy, stay, orange, can"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,19,"rodon, omd, 4, names, sorry, r, miss, remember, people, me"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,20,"ht, another, half, salty, bee, tanka, pretty, long, gray, get"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,21,"red, 50, still, bet, theyre, cards, calgary, getting, gonna, lose"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,22,"weather, subs, slow, live, log, worry, pissing, minutes, wet, front"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,23,"ref, last, fans, weekend, double, complaining, spurs, x, won, bias"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,24,"dcl, caught, firpo, gets, blaming, tackles, 2nd, probably, scoring, less"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,25,"game, crazy, darlow, loving, fuckin, spoilers, stream, bench, watch, fan"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,26,"0, sneaky, spurs, 100, decisions, played, pressure, kick, aint, now"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,27,"stach, sorry, touch, richarlison, id, bit, up, better, lol, get"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,28,"held, our, weather, expect, full, afternoon, feeling, luck, dinner, annoying"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,29,"solomon, better, lee, oooohhhhh, talking, week, bench, suck, don, pfp"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,30,"home, nooooo, slow, defender, down, fuckin, national, keep, losing, gonna"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,31,"calm, joe, positive, kept, son, chill, week, celebrate, whistle, watch"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,32,"block, glass, elgun, shot, 4, him, dcl, was, now, not"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,33,"deflections, pressing, took, goals, striujk, good, darlow, man, ffs, way"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,34,"aaronson, agenda, shame, wet, longer, nothing, lad, back, played, t"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,35,"go, average, gray, beat, old, crowd, madrid, plenty, players, side"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,36,"fuchsia, out, face, tanka, draw, boy, brendy, day, red, me"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,37,"cmon, lee, leeds, man, hell, please, fucking"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,38,"harrison, 80, seeing, am, old, little, guess, ffs, dcl, he"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,39,"ball, beach, show, carry, deserve, tighten, 2nd, touch, fight, goals"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,40,"lol, haha, think, do, hobby, wife, laugh, we, hold, that"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,41,"3, stop, post, hit, paid, forgot, anyone, tim, fair, tracy"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,42,"player, glimt, physical, 40, lying, him, carlos, beech, bring, mate"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,43,"win, 99, never, slow, guys, draw, lee, pay, box, gonna"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,44,"dcl, tbf, lightweight, poor, limping, soft, wasteful, thats, doing, still"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,45,"yellow, cards, both, foul, kids, acting, little, idiot, wasteful, get"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,46,"off, twat, booked, nothing, dive, thats, 7, fucking, ffs, get"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,47,"ball, pass, shots, easy, 70, tackles, losing, cross, aaronson, boys"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,48,"harrison, gives, sava, hoping, away, fan, bring, meslier, man, you"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,49,"inconsistent, bamford, decisions, refs, explain, defensively, shit, both, t, better"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,50,"plz, subscribe, smash, like, subs, chat, more, u, will, get"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,51,"himself, pathetic, hell, lewin, agenda, better, stream, aaronson, early, anyone"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,52,"idiot, white, talking, husam, andrew, support, dont, children, fuck, guys"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,53,"should, scored, chance, them, u, against, lol, tel, us, if"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,54,"home, point, equalised, week, cmon, sadly, lost, feck, win, go"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,55,"archie, forget, sick, players, ran, blaming, aaronson, week, heads, gets"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,56,"prediction, police, get, 1, fake, score, 0, will, all, joe"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,57,"piroe, lost, south, him, week, bring, way, sit, behind, decent"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,58,"comments, chat, spoilers, 8th, bots, table, wrong, love, us, fuck"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,59,"he, happened, paid, aaronson, threat, matches, two, gabi, don, back"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,60,"okafur, worth, acting, romero, yellow, fight, hold, hands, solomon, day"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,61,"hold, changes, company, bigger, fast, attack, longstaff, half, chances, need"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,62,"tracy, banned, case, channel, chill, watching, police, phone, laugh, been"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,63,"romero, cheat, 20, alaw, man, booked, pay, joe, did, off"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,64,"ok, bro, putting, pressure, stop, chill, r, guys, lol, you"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,65,"manager, dcl, bamford, chances, feet, tackle, soon, still, he, away"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,66,"cross, bring, porro, finish, defender, another, decent, now, game, get"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,67,"morning, prediction, id, g, take, dont, time, before, second, big"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,68,"cmon, calvert, afternoon, concede, brendy, lad, here, can, dcl, t"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,69,"suck, bc, refs, dumb, begging, they, 49ers, defensively, red, players"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,70,"nope, jesus, nooooo, oh, no"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,71,"blue, day, bee, halftime, fuchsia, em, fuck, smiling, droopy, diamond"
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log.csv,Unknown,72,"laugh, wirtz, fans, sit, shower, vibes, swan, want, bit, you"
