total_comments,emoji_rate,laugh_rate,exclamation_rate,mean_comment_length,cpm,match,stream_name,importance,league
11861,8.203355534946462,44.07722788972262,2.689486552567237,36.07039878593711,74.69607553286808,ブライトンvsマンチェスターシティ,Brighton v Man City LIVE Watchalong!,Tier3,Premier
9291,7.0283069637283395,45.840060273382846,3.767086427725756,39.18017436228608,72.22620750980983,ブライトンvsマンチェスターシティ,Brighton vs Man City LIVE Premier League WATCHALONG,Tier3,Premier
9645,16.080870917573872,45.90979782270607,3.297045101088647,42.57998963193364,73.8640478239605,ブライトンvsマンチェスターシティ,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips,Tier3,Premier
9347,11.38333155023002,37.26329303519846,2.2360115545094685,30.538033593666416,73.2819141852953,ブライトンvsマンチェスターシティ,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along,Tier3,Premier
7239,7.597734493714602,40.558088133720126,2.099737532808399,32.79251277800801,71.596736346529,ブライトンvsマンチェスターシティ,Watch My Brother LIVE! - Brighton vs Man City Stream,Tier3,Premier
7824,1.4570552147239262,4.9079754601226995,0.1661554192229039,11.437244376278118,74.91568919732045,ブライトンvsマンチェスターシティ,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）,Tier3,Premier
9645,2.052877138413686,6.293416277864178,0.15552099533437014,11.268636599274235,73.94869263618331,ブライトンvsマンチェスターシティ,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】,Tier3,Premier
298,0.0,2.013422818791946,0.0,16.003355704697988,10.622414950217786,ブライトンvsマンチェスターシティ,三笘スタメン🇯🇵ブライトン×ボーンマス＆久保建英所属🇯🇵ソシエダ×レアルマドリー【２試合同時リアルタイム分析】※雑談もします_LACSXJ1WkOU,Tier3,Premier
5927,18.15420954951915,33.237725662223724,2.2270963387885945,30.30167032225409,65.45615901909333,リーズユナイテッドvsスパーズ,LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS,Tier3,Premier
6340,4.400630914826499,44.00630914826498,2.082018927444795,40.94179810725552,70.29584532801161,リーズユナイテッドvsスパーズ,LEEDS VS TOTTENHAM _ THE CLUB LIVE,Tier3,Premier
6140,9.218241042345277,39.9185667752443,4.039087947882736,35.40456026058632,66.57924013630468,リーズユナイテッドvsスパーズ,Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26,Tier3,Premier
6126,3.591250408096637,7.9007508978126015,0.2938295788442703,22.855370551746653,59.686832058499405,リーズユナイテッドvsスパーズ,高井幸大所属🇯🇵スパーズ×田中碧所属🇯🇵リーズ【リアルタイム分析】※雑談もします,Tier3,Premier
381,4.724409448818897,6.824146981627297,1.3123359580052494,31.498687664041995,11.191736261641433,レアルソシエダvsレアルマドリード,⚽JORNADA 4 LaLiga - Real Sociedad 🆚 Real Madrid 🔥_eB2XtdJ52ao,Tier3,LaLiga
452,13.938053097345133,3.761061946902655,3.5398230088495577,26.63053097345133,22.94859388380439,レアルソシエダvsレアルマドリード,✅ Real Sociedad vs Real Madrid [En Vivo] 🏆 La Liga de España - Jornada 4_0fOOZ2_53_0,Tier3,LaLiga
2212,13.426763110307412,6.012658227848101,1.5822784810126582,32.71021699819168,82.8782141542293,レアルソシエダvsレアルマドリード,🔴 REAL SOCIEDAD - REAL MADRID LIVE _ 🔥MBAPPE EN GRANDE FORME ! L'AVANT LDC CONTRE L'OM 👀😂 _ LIGA_w3ZOQ3PcF6M,Tier3,LaLiga
4672,13.09931506849315,24.44349315068493,1.2200342465753424,30.262842465753426,24.97327986451009,レアルマドリードvsバルセロナ,REAL MADRID VS BARCELONA _ EL CLASICO LIVE REACTION!,Tier1,LaLiga
4858,13.009468917249897,5.22848909016056,4.734458624948538,32.8067105804858,26.669543971434322,レアルマドリードvsバルセロナ,REAL MADRID VS FC BARCELONA EN DIRECTO _ EL CLÁSICO _ LALIGA _ Tiempo de Juego COPE _ EN VIVO,Tier1,LaLiga
6568,14.57064555420219,40.133982947624844,2.146772228989038,49.568209500609015,29.739122881017046,レアルマドリードvsバルセロナ,Real Madrid vs Barcelona El Clasico Watchalong LaLiga LIVE _ TFHD,Tier1,LaLiga
4125,17.842424242424244,19.466666666666665,1.0666666666666667,34.865212121212124,22.015674254001546,レアルマドリードvsバルセロナ,Real Madrid vs Barcelona _ La Liga LIVE WATCHALONG,Tier1,LaLiga
4286,15.888940737284182,16.892207186187587,0.6299580027998133,25.85790947270182,29.297992149901727,レアルマドリードvsバルセロナ,Real Madrid vs Barcelona _EL CLASICO_ Laliga 2025 Live Reaction,Tier1,LaLiga
3780,29.338624338624335,11.005291005291005,1.5873015873015872,26.58809523809524,26.72461846291201,レアルマドリードvsバルセロナ,⏱️ MINUTO A MINUTO _ Real Madrid vs Barcelona _ El Clásico,Tier1,LaLiga
5935,18.34877843302443,6.217354675652906,3.8416175231676495,50.722830665543384,27.83564769980816,レアルマドリードvsバルセロナ,⚽️ REAL MADRID vs FC BARCELONA _ #LaLiga 25_26 - Jornada 10 _ 'EL CLÁSICO' EN DIRECTO,Tier1,LaLiga
4424,2.011754068716094,5.357142857142857,0.0,16.46903254972875,26.80613204800685,レアルマドリードvsバルセロナ,【LIVE分析】レアルマドリードvsバルセロナ　▷ラ・リーガ｜第10節　エルクラシコ,Tier1,LaLiga
4852,3.3800494641384993,6.12118713932399,0.1442704039571311,15.700123660346248,11.481898935767564,レアルマドリードvsバルセロナ,【エルクラシコ】レアルマドリード×バルセロナ 0_15キックオフ リアルタイム戦術分析,Tier1,LaLiga
3914,13.157894736842104,6.821665815022994,1.7118037812979052,36.941492079713846,25.82002068558357,レアルマドリードvsバルセロナ,🔴 REAL MADRID - BARCELONE LIVE _ 🚨LE CLASICO POUR LA 1ERE PLACE ! _ 🔥PLACE AU SPECTACLE ! _ LIGA,Tier1,LaLiga
