broadcaster,country,language,region,total_comments,duration_minutes,mean_cpm,peak_cpm,cv_cpm,burst_count,burst_freq_per_hour,mean_burst_duration,mean_burst_intensity
Spain_1,Spain,Spanish,Europe,3780,141.44261798333335,26.619718309859156,109.0,1.2154005786856719,1,0.4225352112676056,3.0,4.094708994708995
Spain_2,Spain,Spanish,Europe,5935,213.21580385000001,27.733644859813083,90.0,0.6363061157923856,2,0.5607476635514018,3.0,2.812468407750632
Japan_1,Japan,Japanese,Asia,4852,422.5781839,11.470449172576831,197.0,2.1721159724624233,12,1.702127659574468,7.333333333333333,8.194971145919212
Japan_2,Japan,Japanese,Asia,4424,165.03686514999998,26.650602409638555,186.0,1.0140882316388862,4,1.4457831325301205,6.0,4.18377034358047
UK_1,UK,English,Europe,4286,146.28988833333332,29.156462585034014,131.0,0.973632211558665,1,0.4081632653061224,2.0,4.493000466635558
UK_2,UK,English,Europe,4125,187.36650771666666,21.94148936170213,174.0,1.1575301149180304,2,0.6382978723404256,7.5,5.674181818181818
UK_3,UK,English,Europe,4672,187.07995206666666,24.851063829787233,129.0,0.9412644521506853,3,0.9574468085106383,2.6666666666666665,3.8227739726027394
UK_4,UK,English,Europe,6568,220.85385726666667,29.71945701357466,156.0,0.8528355007701183,1,0.2714932126696833,2.0,5.249086479902558
France,France,French,Europe,3914,151.5877949,25.75,98.0,1.2539671186222663,1,0.39473684210526316,4.0,3.8058252427184467
Japan_Baseball,Japan,Japanese,Asia,12301,161.23210013333335,75.9320987654321,317.0,0.35731429010245996,2,0.7407407407407407,2.0,2.9631737257133564
US_Baseball,USA,English,North America,11051,233.86068083333333,47.22649572649573,347.0,1.2680858603022624,5,1.2820512820512822,7.2,5.810297710614424
Dominican_Baseball,Dominican,Spanish,Latin America,14122,276.97307108333337,50.981949458483754,586.0,1.3087511427008987,3,0.6498194945848376,8.666666666666666,7.453618467639145
