event_A_id,event_B_id,event_A_label,event_B_label,event_A_streams,event_B_streams,event_A_comments,event_B_comments,embedding_similarity,topic_jaccard,lexical_similarity,combined_score,main_similarity,time_diff_bins,context_penalty,temporal_correlation,confidence_score
32,33,"ムラムラしすぎ・伊東入ってから良すぎたわ・持たれすぎだろ・良すぎ... (Ja_abema, Ja_goat)","アンチ多すぎ応援しろ・大谷キッズ多すぎ・にほんよわすぎ・うますぎ... (Ja_abema, Ja_goat)",2,2,50,33,0.9723878502845764,1.0,0.16744538983490476,1.0,0.9723878502845764,16,1.0,0.8672420073483064,0.6274973303711149
3,32,"kkkkkkkkkk・kkkkkk・kkk・セーの・ドアラ トラッキー (Bra, Ja_abema, Ja_goat, UK)","ムラムラしすぎ・伊東入ってから良すぎたわ・持たれすぎだろ・良すぎ... (Ja_abema, Ja_goat)",4,2,40,50,0.602860689163208,0.0,0.18151830283321846,0.44015431269756744,0.602860689163208,1,1.0,0.0,0.6762192045566701
3,33,"kkkkkkkkkk・kkkkkk・kkk・セーの・ドアラ トラッキー (Bra, Ja_abema, Ja_goat, UK)","アンチ多すぎ応援しろ・大谷キッズ多すぎ・にほんよわすぎ・うますぎ... (Ja_abema, Ja_goat)",4,2,40,33,0.533536970615387,0.0,0.16744538955702915,0.4314536466824439,0.533536970615387,15,1.0,0.7044433753016786,0.6758379485608301
3,21,"kkkkkkkkkk・kkkkkk・kkk・セーの・ドアラ トラッキー (Bra, Ja_abema, Ja_goat, UK)","o・jogo・brasil・サッカーアンチ共ー・杯優勝した (Bra, Ja_abema, Ja_goat, UK)",4,4,40,38,0.4882371723651886,0.012468827930174564,0.16744538967740963,0.3610043252094079,0.4882371723651886,3,1.0,0.0,0.6645835241085744
21,32,"o・jogo・brasil・サッカーアンチ共ー・杯優勝した (Bra, Ja_abema, Ja_goat, UK)","ムラムラしすぎ・伊東入ってから良すぎたわ・持たれすぎだろ・良すぎ... (Ja_abema, Ja_goat)",4,2,38,50,0.4264868497848511,0.0,0.17354156520472863,0.3607278276474091,0.4264868497848511,2,1.0,0.9461558044981765,0.7833026299795135
21,33,"o・jogo・brasil・サッカーアンチ共ー・杯優勝した (Bra, Ja_abema, Ja_goat, UK)","アンチ多すぎ応援しろ・大谷キッズ多すぎ・にほんよわすぎ・うますぎ... (Ja_abema, Ja_goat)",4,2,38,33,0.4132227897644043,0.0,0.1674453898078695,0.3362658217474248,0.4132227897644043,18,1.0,0.6593743199987294,0.6921492300105486
3,37,"kkkkkkkkkk・kkkkkk・kkk・セーの・ドアラ トラッキー (Bra, Ja_abema, Ja_goat, UK)","韓国発狂・茨城上田最強・韓国との圧倒的差を見せたな・korea・... (Ja_abema, UK)",4,2,40,32,0.34088319540023804,0.0,0.16744538958848332,0.25536277573901495,0.34088319540023804,4,1.0,0.0,0.7288540647294152
21,37,"o・jogo・brasil・サッカーアンチ共ー・杯優勝した (Bra, Ja_abema, Ja_goat, UK)","韓国発狂・茨城上田最強・韓国との圧倒的差を見せたな・korea・... (Ja_abema, UK)",4,2,38,32,0.3199785649776459,0.0,0.1674453892315757,0.2407295344075097,0.3199785649776459,1,1.0,0.0,0.7324889414179766
32,37,"ムラムラしすぎ・伊東入ってから良すぎたわ・持たれすぎだろ・良すぎ... (Ja_abema, Ja_goat)","韓国発狂・茨城上田最強・韓国との圧倒的差を見せたな・korea・... (Ja_abema, UK)",2,2,50,32,0.31026774644851685,0.0,0.16744538953417532,0.23393196146737932,0.31026774644851685,3,1.0,0.0,0.7557258810285528
33,37,"アンチ多すぎ応援しろ・大谷キッズ多すぎ・にほんよわすぎ・うますぎ... (Ja_abema, Ja_goat)","韓国発狂・茨城上田最強・韓国との圧倒的差を見せたな・korea・... (Ja_abema, UK)",2,2,33,32,0.3056817948818207,0.0,0.1674453897033239,0.23072179538760687,0.3056817948818207,19,1.0,0.0,0.7289211982738344
