,E0,E3,E12,E15,E26,E27,E30,E37,E39,E41,E44,E49,E50,E84,E104,E151,E200
E0: hala madrid・hala・mad,1.0,0.5914244055747986,0.5073855519294739,0.5232557058334351,0.321367084980011,0.9693984985351562,0.37613433599472046,0.954438328742981,0.3303418755531311,0.12354828417301178,0.36347830295562744,0.4775114059448242,0.3904035687446594,0.4464528560638428,0.9148696660995483,0.4299870729446411,0.3877171277999878
E3: fans・varca fans・varc,0.5914244055747986,1.0,0.4861663579940796,0.501659631729126,0.4244695007801056,0.521038293838501,0.37122130393981934,0.510587215423584,0.3467956483364105,0.2280416637659073,0.45012423396110535,0.42920202016830444,0.41157442331314087,0.499407023191452,0.5134902596473694,0.4357023239135742,0.3799002468585968
E12: golaaaazooooooooo・go,0.5073855519294739,0.4861663579940796,1.0,0.9673992395401001,0.6987975835800171,0.5135892629623413,0.7405697107315063,0.5081232786178589,0.47700685262680054,0.48557889461517334,0.6789582967758179,0.7661616802215576,0.794094443321228,0.904389500617981,0.4173938035964966,0.5746277570724487,0.6828697919845581
E15: mbappeeeee・golazoooo,0.5232557058334351,0.501659631729126,0.9673992395401001,1.0,0.6840957999229431,0.53285813331604,0.7026150226593018,0.5364412069320679,0.46440595388412476,0.47323283553123474,0.6197211742401123,0.7719312906265259,0.7798638343811035,0.9098526239395142,0.4422828257083893,0.6032687425613403,0.6163357496261597
E26: cry laugh laugh・cry ,0.321367084980011,0.4244695007801056,0.6987975835800171,0.6840957999229431,1.0,0.30058762431144714,0.5484675168991089,0.2827395498752594,0.5368698835372925,0.5564562082290649,0.6243698596954346,0.5008445382118225,0.5501931309700012,0.7065620422363281,0.2541050910949707,0.3357735276222229,0.5566427111625671
E27: madrid・juega・ala・hal,0.9693984985351562,0.521038293838501,0.5135892629623413,0.53285813331604,0.30058762431144714,1.0,0.34162697196006775,0.9778497815132141,0.3315073847770691,0.11046737432479858,0.32300227880477905,0.4946570098400116,0.4128487706184387,0.4487864375114441,0.9211925864219666,0.4050610065460205,0.3849020004272461
E30: los・hoy・pañal nada・p,0.37613433599472046,0.37122130393981934,0.7405697107315063,0.7026150226593018,0.5484675168991089,0.34162697196006775,1.0,0.31616267561912537,0.28164148330688477,0.34872227907180786,0.6194179058074951,0.46837887167930603,0.496254026889801,0.7120140194892883,0.3073562681674957,0.4587611258029938,0.5255328416824341
E37: madrid・hala madrid・h,0.954438328742981,0.510587215423584,0.5081232786178589,0.5364412069320679,0.2827395498752594,0.9778497815132141,0.31616267561912537,1.0,0.32309406995773315,0.1140415370464325,0.2982690632343292,0.5138459801673889,0.4370259642601013,0.4567146301269531,0.9097456932067871,0.4106997847557068,0.3699380159378052
E39: face・green smiling・g,0.3303418755531311,0.3467956483364105,0.47700685262680054,0.46440595388412476,0.5368698835372925,0.3315073847770691,0.28164148330688477,0.32309406995773315,1.0,0.8034188747406006,0.2971194386482239,0.45520713925361633,0.4508257508277893,0.37516242265701294,0.278765469789505,0.218534454703331,0.4111279547214508
E41: face・face green smil,0.12354828417301178,0.2280416637659073,0.48557889461517334,0.47323283553123474,0.5564562082290649,0.11046737432479858,0.34872227907180786,0.1140415370464325,0.8034188747406006,1.0,0.3224942982196808,0.35990071296691895,0.399053156375885,0.4250049293041229,0.09145467728376389,0.22761757671833038,0.39641544222831726
E44: que・lo・dijo・失礼しました・ベ,0.36347830295562744,0.45012423396110535,0.6789582967758179,0.6197211742401123,0.6243698596954346,0.32300227880477905,0.6194179058074951,0.2982690632343292,0.2971194386482239,0.3224942982196808,1.0,0.4131224751472473,0.4606008231639862,0.6990021467208862,0.2313697636127472,0.3395271897315979,0.5796706676483154
E49: bhai・zee bhai・zee・tu,0.4775114059448242,0.42920202016830444,0.7661616802215576,0.7719312906265259,0.5008445382118225,0.4946570098400116,0.46837887167930603,0.5138459801673889,0.45520713925361633,0.35990071296691895,0.4131224751472473,1.0,0.9426104426383972,0.6276116967201233,0.4102439880371094,0.4609264135360718,0.4741751253604889
E50: bhai・you・zee・nikal g,0.3904035687446594,0.41157442331314087,0.794094443321228,0.7798638343811035,0.5501931309700012,0.4128487706184387,0.496254026889801,0.4370259642601013,0.4508257508277893,0.399053156375885,0.4606008231639862,0.9426104426383972,1.0,0.6703469157218933,0.31891342997550964,0.45254868268966675,0.5120973587036133
E84: varselona・vadridds・r,0.4464528560638428,0.499407023191452,0.904389500617981,0.9098526239395142,0.7065620422363281,0.4487864375114441,0.7120140194892883,0.4567146301269531,0.37516242265701294,0.4250049293041229,0.6990021467208862,0.6276116967201233,0.6703469157218933,1.0,0.35613149404525757,0.5554124116897583,0.570584774017334
E104: madrid・allez・allez m,0.9148696660995483,0.5134902596473694,0.4173938035964966,0.4422828257083893,0.2541050910949707,0.9211925864219666,0.3073562681674957,0.9097456932067871,0.278765469789505,0.09145467728376389,0.2313697636127472,0.4102439880371094,0.31891342997550964,0.35613149404525757,1.0,0.3472024202346802,0.3127632141113281
E151: barca・visca barca・vi,0.4299870729446411,0.4357023239135742,0.5746277570724487,0.6032687425613403,0.3357735276222229,0.4050610065460205,0.4587611258029938,0.4106997847557068,0.218534454703331,0.22761757671833038,0.3395271897315979,0.4609264135360718,0.45254868268966675,0.5554124116897583,0.3472024202346802,1.0,0.3667033910751343
E200: ヴィニ今日よかったからなぁ・今日のマドリ,0.3877171277999878,0.3799002468585968,0.6828697919845581,0.6163357496261597,0.5566427111625671,0.3849020004272461,0.5255328416824341,0.3699380159378052,0.4111279547214508,0.39641544222831726,0.5796706676483154,0.4741751253604889,0.5120973587036133,0.570584774017334,0.3127632141113281,0.3667033910751343,1.0
