stream_id,match_folder,match_name,tier,tier_label,importance_score,league,match_type,detected_language,total_comments,emoji_rate,exclamation_rate,mean_comment_length,median_comment_length,max_cpm,mean_cpm,median_cpm,std_cpm,burst_frequency,topic_entropy,unique_words,total_words,lexical_diversity
REAL MADRID VS BARCELONA _ EL CLASICO LIVE REACTION!,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,French,4672,13.09931506849315,1.2200342465753424,30.262842465753426,16.0,114,36.21705426356589,34.0,21.97831361546752,25,10.661582662259903,5647,25121,0.22479200668763186
REAL MADRID VS FC BARCELONA EN DIRECTO _ EL CLÁSICO _ LALIGA _ Tiempo de Juego COPE _ EN VIVO,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,Spanish,4858,13.75051461506793,4.734458624948538,32.8067105804858,23.0,78,32.38666666666666,32.0,14.822342407726977,25,10.247714194102606,5597,25659,0.21813009080634474
Real Madrid vs Barcelona El Clasico Watchalong LaLiga LIVE _ TFHD,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,Spanish,6568,14.555420219244825,2.146772228989038,49.568209500609015,31.0,189,44.080536912751676,52.0,31.418387794437653,7,10.505976701875445,8123,59071,0.1375124849757072
Real Madrid vs Barcelona _ La Liga LIVE WATCHALONG,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,Spanish,4125,18.642424242424244,1.0666666666666667,34.865212121212124,17.0,102,49.69879518072289,64.0,27.025613388386084,2,10.561627315848582,4866,17429,0.27918985598714785
Real Madrid vs Barcelona _EL CLASICO_ Laliga 2025 Live Reaction,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,Spanish,4286,15.795613625758284,0.6299580027998133,25.85790947270182,16.0,117,46.086021505376344,45.0,25.64076913059022,26,10.54223353115358,4633,17836,0.2597555505718771
⏱️ MINUTO A MINUTO _ Real Madrid vs Barcelona _ El Clásico,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,Spanish,3780,31.19047619047619,1.64021164021164,26.58809523809524,11.0,83,67.5,71.0,12.783512108109486,1,9.630062407998013,3118,8833,0.3529944526208536
⚽️ REAL MADRID vs FC BARCELONA _ #LaLiga 25_26 - Jornada 10 _ 'EL CLÁSICO' EN DIRECTO,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,Spanish,5935,18.466722830665542,3.8416175231676495,50.722830665543384,31.0,81,33.91428571428571,33.0,14.006507987712435,28,9.591654510140962,6359,49568,0.12828841187863138
【LIVE分析】レアルマドリードvsバルセロナ　▷ラ・リーガ｜第10節　エルクラシコ,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,Japanese,4424,2.011754068716094,2.848101265822785,16.46903254972875,14.0,170,30.510344827586206,24.0,26.11755402698519,22,8.712953635485313,466,4500,0.10355555555555555
【エルクラシコ】レアルマドリード×バルセロナ 0_15キックオフ リアルタイム戦術分析,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,Japanese,4852,3.3800494641384993,2.9472382522671063,15.700123660346248,13.0,233,33.93006993006993,27.0,33.70577965853099,17,8.499698082865974,463,5117,0.09048270470979089
🔴 REAL MADRID - BARCELONE LIVE _ 🚨LE CLASICO POUR LA 1ERE PLACE ! _ 🔥PLACE AU SPECTACLE ! _ LIGA,レアルマドリードvsバルセロナ,レアルマドリード vs バルセロナ,1,Ultra-High,5,La Liga,Club Rivalry,Spanish,3914,13.23454266734798,1.7118037812979052,36.941492079713846,16.0,94,57.55882352941177,69.0,24.395609069642862,1,10.036544417827725,3863,15388,0.25103977125032495
