stream_source,cpm,avg_comment_length,emoji_rate,entropy,total_comments,appearance_count
Bra,63.7669926703063,40.24005410566518,12.189688096753661,10.300335916214152,12568,1
Brighton v Man City LIVE Watchalong!_chat_log,74.69607553286808,36.07039878593711,6.972430655088104,10.402589039563379,11861,1
Brighton vs Man City LIVE Premier League WATCHALONG_chat_log,72.22620750980984,39.18017436228608,4.929501668281133,10.126119581325467,9291,1
Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log,73.8640478239605,42.57998963193364,12.8149300155521,10.511029815900459,9645,1
Ja_abema,59.081014669480986,15.830787693650448,99.45450578223871,11.49020212838148,9166,1
Ja_goat,61.20912504425272,14.034231962761831,99.5733126454616,12.134443980509612,10312,1
LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log,65.45615901909333,30.30167032225409,12.569596760587142,10.455702827685656,5927,1
LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log,70.29584532801161,40.94179810725552,3.5962145110410093,9.919185621664255,6340,1
Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log,66.57924013630468,35.40456026058632,8.436482084690553,10.136417080377104,6140,1
PSG_IntelMiami_France,54.48865303052138,37.50165605095541,10.484076433121018,8.773621117743527,7850,1
PSG_IntelMiami_India,65.75910453096252,44.22852493316285,17.005695687550855,9.901872407386183,8603,1
REAL MADRID VS BARCELONA _ EL CLASICO LIVE REACTION!_chat_log,24.973279864510094,30.262842465753426,7.641267123287671,10.661581847570742,4672,1
REAL MADRID VS FC BARCELONA EN DIRECTO _ EL CLÁSICO _ LALIGA _ Tiempo de Juego COPE _ EN VIVO_chat_log,26.669543971434322,32.8067105804858,10.436393577603953,10.24771338662691,4858,1
Real Madrid vs Barcelona El Clasico Watchalong LaLiga LIVE _ TFHD_chat_log,29.73912288101705,49.568209500609015,10.109622411693058,10.505975529976546,6568,1
Real Madrid vs Barcelona _ La Liga LIVE WATCHALONG_chat_log,22.015674254001546,34.865212121212124,13.357575757575757,10.561626613833639,4125,1
Real Madrid vs Barcelona _EL CLASICO_ Laliga 2025 Live Reaction_chat_log,29.297992149901727,25.85790947270182,11.012599160055997,10.542232862753401,4286,1
Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log,73.2819141852953,30.538033593666416,8.719375200599123,10.624110731979652,9347,1
UK,62.87149696001871,31.41304347826087,10.453569511540527,10.298381692551299,7452,1
Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log,71.596736346529,32.79251277800801,7.431965741124465,9.329560514544497,7239,1
⏱️ MINUTO A MINUTO _ Real Madrid vs Barcelona _ El Clásico_chat_log,26.724618462912005,26.58809523809524,25.925925925925924,9.630061958165864,3780,1
⚽JORNADA 4 LaLiga - Real Sociedad 🆚 Real Madrid 🔥_eB2XtdJ52ao_chat_log,11.191736261641433,31.498687664041995,4.4619422572178475,8.850454959266143,381,1
⚽️ REAL MADRID vs FC BARCELONA _ #LaLiga 25_26 - Jornada 10 _ 'EL CLÁSICO' EN DIRECTO_chat_log,27.835647699808156,50.722830665543384,13.007582139848356,9.591653592732637,5935,1
✅ Real Sociedad vs Real Madrid [En Vivo] 🏆 La Liga de España - Jornada 4_0fOOZ2_53_0_chat_log,22.948593883804392,26.63053097345133,11.504424778761061,8.196388177370313,452,1
【LIVE分析】レアルマドリードvsバルセロナ　▷ラ・リーガ｜第10節　エルクラシコ_chat_log,26.806132048006855,16.46903254972875,99.59312839059675,8.712953568255724,4424,1
【エルクラシコ】レアルマドリード×バルセロナ 0_15キックオフ リアルタイム戦術分析_chat_log,11.481898935767564,15.700123660346248,98.45424567188789,8.499698016069196,4852,1
【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log,74.91568919732045,11.437244376278118,99.3737218813906,11.969938353745373,7824,1
【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log,73.94869263618331,11.268636599274235,98.93208916537066,11.43614025468168,9645,1
三笘スタメン🇯🇵ブライトン×ボーンマス＆久保建英所属🇯🇵ソシエダ×レアルマドリー【２試合同時リアルタイム分析】※雑談もします_LACSXJ1WkOU_chat_log,10.622414950217784,16.003355704697988,98.99328859060402,8.195485314458775,298,1
高井幸大所属🇯🇵スパーズ×田中碧所属🇯🇵リーズ【リアルタイム分析】※雑談もします_chat_log,59.686832058499405,22.855370551746653,99.06953966699315,9.338619761346376,6126,1
🔴 REAL MADRID - BARCELONE LIVE _ 🚨LE CLASICO POUR LA 1ERE PLACE ! _ 🔥PLACE AU SPECTACLE ! _ LIGA_chat_log,25.82002068558357,36.941492079713846,9.734287174246296,10.036543860514952,3914,1
🔴 REAL SOCIEDAD - REAL MADRID LIVE _ 🔥MBAPPE EN GRANDE FORME ! L'AVANT LDC CONTRE L'OM 👀😂 _ LIGA_w3ZOQ3PcF6M_chat_log,82.8782141542293,32.723654454997735,8.860759493670885,9.815876563836497,2212,1
