time_bin,emoji_count,exclamation_count,laugh_count,comment,emoji_rate,exclamation_rate,laugh_rate
0,3322,610,1283,4702,0.7065078689919183,0.12973202892386218,0.27286261165461506
1,688,38,400,1165,0.590557939914163,0.03261802575107296,0.34334763948497854
2,1400,126,560,2416,0.5794701986754967,0.052152317880794705,0.23178807947019867
3,4763,235,1474,5763,0.8264792642720805,0.04077737289606108,0.25576956446295335
4,4972,296,1594,6470,0.7684698608964451,0.04574961360123648,0.2463678516228748
5,4675,401,1638,6556,0.7130872483221476,0.061165344722391705,0.24984746796827334
6,7799,525,1710,6605,1.180772142316427,0.07948523845571537,0.25889477668433003
7,4554,449,1814,4003,1.1376467649263053,0.11216587559330501,0.4531601299025731
8,3045,278,1730,3015,1.0099502487562189,0.09220563847429519,0.5737976782752903
9,721,204,1133,1532,0.4706266318537859,0.13315926892950392,0.7395561357702349
10,220,7,440,362,0.6077348066298343,0.019337016574585635,1.2154696132596685
11,10,0,0,211,0.04739336492890995,0.0,0.0
12,0,0,6,453,0.0,0.0,0.013245033112582781
13,0,0,4,53,0.0,0.0,0.07547169811320754
14,0,0,51,995,0.0,0.0,0.05125628140703518
15,0,0,0,1095,0.0,0.0,0.0
16,50,0,77,507,0.09861932938856016,0.0,0.15187376725838264
17,0,0,0,231,0.0,0.0,0.0
18,42,21,89,569,0.07381370826010544,0.03690685413005272,0.15641476274165203
19,28,0,108,711,0.03938115330520394,0.0,0.1518987341772152
