time_bin,time_range,num_streams,avg_similarity,std_similarity,min_similarity,max_similarity
0,0-10%,10,0.7924445,0.12359056,0.549525,0.95589066
1,10-20%,10,0.82822233,0.08107903,0.65795255,0.94057775
2,20-30%,10,0.803108,0.14268109,0.5024485,0.9679646
3,30-40%,10,0.7488216,0.14012934,0.49183813,0.9537726
4,40-50%,10,0.7862984,0.1226219,0.52510536,0.95016223
5,50-60%,10,0.80151486,0.10143861,0.5785265,0.93260205
6,60-70%,10,0.8204077,0.09480287,0.5751337,0.9413195
7,70-80%,10,0.7998192,0.09952379,0.6189282,0.97639054
8,80-90%,10,0.813074,0.11183105,0.5828701,0.94213986
9,90-100%,10,0.8065938,0.120821014,0.57732856,0.97381496
